"id" "period" "season" "sum_space_free" "sum_broken" "sum_total" "mean_predict_day_spaces_free" "perc_slot_free" "perc_broken_bikes" "name" "lat" "long" "total_station_size" "average_dist_bus" "bus_stops" "average_dist_school" "num_schools" "num_hosp" "departments" "average_dist_hosp" "num_mall" "average_dist_mall" "numb_shops_mall" "surface_mall" "average_surface" "average_dist_sale" "num_sale" "max_surface_sale" "mean_surface_sale" "min_surface_sale" "tot_surface_sales" "average_dist_open_air_market" "num_open_air_market" "max_days_open" "min_days_open" "mean_days_open" "tot_days_open" "max_total_places" "min_total_places" "mean_total_places" "tot_total_places" "stat_zone" "TOTALE" "Totale.stranieri" "perc_stranieri" "use"
"17" 5 "morning" "autumn" 991 66 1411 0.607080585625875 0.702338766832034 0.0467753366406804 "Bava" 45.06909 7.70193 17 224.384845874 10 234.857968943 8 0 0 0 0 0 0 0 0 168.896616941 4 553 388 263 1554 240.491325079 1 6 6 6 6 66 66 66 66 "VANCHIGLIA" 11247 1161 0.103227527340624 1
"18" 5 "morning" "spring" 936 169 1564 0.523383482513431 0.59846547314578 0.108056265984655 "Bava" 45.06909 7.70193 17 224.384845874 10 234.857968943 8 0 0 0 0 0 0 0 0 168.896616941 4 553 388 263 1554 240.491325079 1 6 6 6 6 66 66 66 66 "VANCHIGLIA" 11247 1161 0.103227527340624 1
"19" 5 "morning" "summer" 823 127 1258 0.621245029620391 0.654213036565978 0.100953895071542 "Bava" 45.06909 7.70193 17 224.384845874 10 234.857968943 8 0 0 0 0 0 0 0 0 168.896616941 4 553 388 263 1554 240.491325079 1 6 6 6 6 66 66 66 66 "VANCHIGLIA" 11247 1161 0.103227527340624 1
"20" 5 "morning" "winter" 781 137 1513 0.482993568084551 0.516192994051553 0.0905485789821547 "Bava" 45.06909 7.70193 17 224.384845874 10 234.857968943 8 0 0 0 0 0 0 0 0 168.896616941 4 553 388 263 1554 240.491325079 1 6 6 6 6 66 66 66 66 "VANCHIGLIA" 11247 1161 0.103227527340624 1
"21" 6 "morning" "autumn" 1016 15 1245 0.607080585625875 0.816064257028112 0.0120481927710843 "Belfiore" 45.054245 7.678395 15 232.605967152 12 177.904146985 5 0 0 0 0 0 0 0 0 213.655085704 9 960 497 262 4473 0 0 0 0 0 0 0 0 0 0 "PIAZZA NIZZA" 10732 1552 0.144614237793515 1
"22" 6 "morning" "spring" 847 266 1380 0.523383482513431 0.613768115942029 0.192753623188406 "Belfiore" 45.054245 7.678395 15 232.605967152 12 177.904146985 5 0 0 0 0 0 0 0 0 213.655085704 9 960 497 262 4473 0 0 0 0 0 0 0 0 0 0 "PIAZZA NIZZA" 10732 1552 0.144614237793515 1
"23" 6 "morning" "summer" 781 112 1095 0.621131085434692 0.71324200913242 0.102283105022831 "Belfiore" 45.054245 7.678395 15 232.605967152 12 177.904146985 5 0 0 0 0 0 0 0 0 213.655085704 9 960 497 262 4473 0 0 0 0 0 0 0 0 0 0 "PIAZZA NIZZA" 10732 1552 0.144614237793515 1
"24" 6 "afternoon" "winter" 910 52 1335 0.482661379426187 0.681647940074906 0.0389513108614232 "Belfiore" 45.054245 7.678395 15 232.605967152 12 177.904146985 5 0 0 0 0 0 0 0 0 213.655085704 9 960 497 262 4473 0 0 0 0 0 0 0 0 0 0 "PIAZZA NIZZA" 10732 1552 0.144614237793515 1
"25" 7 "morning" "autumn" 437 1 1060 0.595558735372809 0.412264150943396 0.000943396226415094 "Belgio 2" 45.07327 7.71714 20 190.613700179 5 0 0 0 0 0 0 0 0 0 0 77.2153023036 1 590 590 590 590 192.209170152 1 6 6 6 6 40 40 40 40 "VANCHIGLIETTA" 17655 1841 0.104276408949306 0
"26" 7 "morning" "spring" 1019 25 1840 0.523383482513431 0.553804347826087 0.0135869565217391 "Belgio 2" 45.07327 7.71714 20 190.613700179 5 0 0 0 0 0 0 0 0 0 0 77.2153023036 1 590 590 590 590 192.209170152 1 6 6 6 6 40 40 40 40 "VANCHIGLIETTA" 17655 1841 0.104276408949306 1
"27" 7 "morning" "summer" 437 5 620 0.618104134816506 0.704838709677419 0.00806451612903226 "Belgio 2" 45.07327 7.71714 20 190.613700179 5 0 0 0 0 0 0 0 0 0 0 77.2153023036 1 590 590 590 590 192.209170152 1 6 6 6 6 40 40 40 40 "VANCHIGLIETTA" 17655 1841 0.104276408949306 1
"28" 7 "morning" "winter" 636 9 1760 0.482782129670667 0.361363636363636 0.00511363636363636 "Belgio 2" 45.07327 7.71714 20 190.613700179 5 0 0 0 0 0 0 0 0 0 0 77.2153023036 1 590 590 590 590 192.209170152 1 6 6 6 6 40 40 40 40 "VANCHIGLIETTA" 17655 1841 0.104276408949306 0
"29" 8 "morning" "autumn" 399 83 567 0.607305294431849 0.703703703703704 0.146384479717813 "Berlinguer" 45.09965 7.53123 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"30" 8 "early" "spring" 181 174 490 0.508098310729639 0.369387755102041 0.355102040816327 "Berlinguer" 45.09965 7.53123 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 0
"31" 8 "afternoon" "summer" 323 55 448 0.62567098969541 0.720982142857143 0.122767857142857 "Berlinguer" 45.09965 7.53123 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
"32" 8 "afternoon" "winter" 344 122 623 0.482661379426187 0.552166934189406 0.195826645264847 "Berlinguer" 45.09965 7.53123 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA 0 0 0 1
