,stop_id,stop_lat,stop_lon
1745,50785012,45.01889,7.618460000000001
1746,50854010,45.07928,7.621589999999999
1747,50858017,45.017179999999996,7.62387
1748,50879014,45.01347,7.62485
1749,50895010,45.083870000000005,7.6238
1750,50902015,45.08162,7.623639999999999
1751,50931014,45.06017,7.626580000000001
1752,50932013,45.08618,7.62598
1753,50955019,45.02512,7.62942
1754,50983012,45.037420000000004,7.629739999999999
1756,51047008,45.0354,7.63289
1757,51064010,45.03875,7.633489999999999
1758,51066006,45.02323,7.633710000000001
1759,51067005,45.04908,7.63335
1761,51167010,45.105740000000004,7.63582
1762,51185006,45.041940000000004,7.638
1763,51214006,45.029720000000005,7.63968
1765,51235006,45.083079999999995,7.639360000000001
1766,51243009,45.046440000000004,7.64077
1767,51269005,45.04623,7.64168
1768,51275006,45.02925,7.642469999999999
1769,50911017,45.05706,7.6254100000000005
1770,50928011,45.039320000000004,7.62675
1771,50928012,45.03946,7.626760000000001
1772,50943013,45.01572,7.628430000000001
1773,50946013,45.08393,7.627160000000001
1774,50986013,45.098209999999995,7.628360000000001
1775,51054007,45.01923,7.63375
1776,51079007,45.03622,7.63417
1777,51109005,45.024190000000004,7.63541
1778,51132018,45.07472,7.635110000000001
1779,51135005,45.06136,7.635210000000001
1780,51158007,45.02645,7.63732
1781,51168009,45.09734,7.59825
1782,51205006,45.03405,7.63915
1783,51222007,45.03922,7.63962
1784,51246010,45.01427,7.637460000000001
1785,51309008,45.03436,7.64398
1786,51361011,45.06454,7.64545
1787,51371009,45.06017,7.6458699999999995
1788,51381012,45.109629999999996,7.6451899999999995
1791,51457010,45.04402,7.64951
1792,51461006,45.07863,7.648910000000001
1793,51465006,45.05192,7.650010000000001
1794,51466007,45.1018,7.648460000000001
1795,51502008,45.10714,7.64952
1796,51503007,45.05703,7.650980000000001
1797,51512006,45.10587,7.64991
1798,51536005,45.05095,7.65269
1799,51565010,45.10072,7.652839999999999
1800,51567007,45.0842,7.65327
1801,51431005,45.08084,7.647689999999999
1802,51465005,45.05157,7.649610000000001
1803,51509006,45.08467,7.65038
1804,51519008,45.025240000000004,7.65225
1806,51608007,45.07042,7.65543
1807,51612010,45.025890000000004,7.656289999999999
1808,51636006,45.0801,7.656289999999999
1809,51653005,45.08846,7.65648
1811,51713004,45.03945,7.660410000000001
1812,51720005,45.06947,7.65999
1813,51752008,45.04677,7.66144
1815,51848005,45.05049,7.664739999999999
1816,51868008,45.00996,7.666910000000001
1817,51880005,45.05423,7.66648
1818,51905003,45.05154,7.667619999999999
1819,51912003,45.06373,7.66795
1820,51920003,45.01812,7.6692100000000005
1821,51966002,45.08723,7.66954
1822,51970003,45.08117,7.6698
1823,51984007,45.05474,7.58656
1824,51989004,45.00543,7.67232
1826,52002003,45.06276,7.6712
1827,52042002,45.10176,7.672630000000001
1828,52054004,45.07082,7.67415
1829,52103003,45.04676,7.6769300000000005
1830,52119002,45.06235,7.67714
1832,51409010,45.080220000000004,7.646789999999999
1835,51520011,45.02466,7.6523
1836,51535008,45.06338,7.6527199999999995
1839,51659005,45.08918,7.656610000000001
1840,51684009,45.08341,7.65758
1842,51728005,45.0604,7.66029
1843,51729007,45.08005,7.659910000000001
1844,51739007,45.07443,7.66057
1845,51752007,45.04703,7.661639999999999
1846,51800004,45.06277,7.66304
1847,51809005,45.0517,7.66366
1848,51813006,45.04437,7.66397
1849,51845004,45.07861,7.664160000000001
1850,51850005,45.07318,7.664439999999999
1851,51870006,45.0215,7.66667
1852,51877004,45.06736,7.66582
1853,51901005,45.01631,7.668360000000001
1854,51950003,45.073440000000005,7.66799
1855,52007003,45.05535,7.6718
1857,52046005,45.09584,7.673089999999999
1858,52056005,45.07135,7.67442
1859,52069003,45.064409999999995,7.6745
1860,52084003,45.03422,7.67635
1861,52108003,45.029090000000004,7.677560000000001
1862,52117004,45.09715,7.6764
1863,50582027,45.08295,7.58207
1864,50609031,45.0511,7.59444
1865,50637018,45.0746,7.600280000000001
1866,50647015,45.03672,7.60274
1867,50654013,45.09787,7.6029
1868,50714010,45.016220000000004,7.6115699999999995
1869,50750012,45.08853,7.57517
1871,50795019,45.01435,7.61955
1872,50799014,45.07098,7.597460000000001
1873,50812015,45.07156,7.618930000000001
1874,50846012,45.00773,7.622960000000001
1875,50851018,45.02316,7.6226899999999995
1876,50853016,45.0136,7.623060000000001
1878,50919015,45.10625,7.624630000000001
1879,50919016,45.10611,7.6248
1880,50925012,45.01579,7.627439999999999
1881,50958016,45.00496,7.629560000000001
1883,50974011,45.09841,7.627999999999999
1884,51000007,45.05133,7.62989
1885,51004010,45.05375,7.63006
1886,51023007,45.06462,7.630739999999999
1888,51050006,45.03266,7.63318
1890,51068007,45.07101,7.63288
1892,51140007,45.02213,7.63657
1893,51275007,45.029140000000005,7.6425600000000005
1894,51484008,45.0649,7.65009
1896,51540005,45.05874,7.65262
1897,51585009,45.08222,7.653969999999999
1898,51601008,45.079409999999996,7.65503
1899,51706003,45.019059999999996,7.66051
1900,51719004,45.08917,7.65914
1901,51721005,45.08893,7.65915
