"Anno";"CodiceIstatComune";"Comune";"DenominazioneCentro";"IndirizzoCentroCommerciale";"NumeroCivico";"NumeroEsercizidiVicinatosettoreAlimentarenelCentro";"NumeroEsercizidiVicinatosettoreNonalimentareNelcentro";"NumeroEsercizidiVicinatosettoreMistonelCentro";"NumeroTotaleesercizidiVicinatonelCentro";"SuperficieEsercizidiVicinatosettoreAlimentarenelCentro";"SuperficieEsercizidiVicinatosettoreNonalimentareNelcentro";"SuperficieEsercizidiVicinatosettoreMistonelCentro";"SuperficietotaleEsercizidiVicinatonelCentro";"NumeroMediestruttureSettorealimentareNelcentro";"NumeroMediestruttureSettorenonAlimentarenelCentro";"NumeroMediestruttureSettoremistoNelCentro";"NumerototalemedieStrutturenelCentro";"SuperficieMediestruttureSettorealimentareNelcentro";"SuperficieMediestruttureSettorenonAlimentarenelCentro";"SuperficieMediestruttureSettoremistoNelCentro";"SuperficietotaleMediestrutturenelCentro";"NumeroGrandistruttureSettorealimentareNelcentro";"NumeroGrandistruttureSettorenonAlimentarenelCentro";"NumeroGrandistruttureSettoremistoNelCentro";"NumerototalegrandistrutturenelCentro";"SuperficieGrandistruttureSettorealimentareNelcentro";"SuperficieGrandistruttureSettorenonAlimentarenelCentro";"SuperficieGrandistruttureSettoremistoNelCentro";"SuperficietotaleGrandistrutturenelCentro";"Numerototalestrutturesettorealimentare";"NumeroTotalestrutturesettorenonAlimentarenelCentro";"Numerototalestrutturesettoremisto";"NumeroTotalestrutturedelCentro";"SuperficietotaleStrutturesettorealimentarenelCentro";"SuperficietotaleStrutturesettoreNonalimentarenelCentro";"SuperficietotaleStrutturesettoreMistonelCentro";"SuperficietotaleStrutturedelCentro";"NumeroBarNelcentro";"NumeroRistorantinelCentro";"NumeroEdicolenelCentro";"NumeroRivenditegeneriDiMonopolionelCentro";"NumeroFarmacienelCentro";"NumeroDistributoridiCarburantenelCentro";""
"2014";" 001164 ";"NICHELINO";"CENTRO COMMERCIALE IL CASTELLO";"Piazza Aldo Moro";"50";"1";"8";"3";"12";"54";"535";"147";"736";"0";"0";"2";"2";"0";"0";"2350";"2350";"0";"0";"0";"0";"0";"0";"0";"0";"1";"8";"5";"14";"54";"535";"2497";"3086";"1";"0";"1";"1";"1";"0";""
"2014";" 001272 ";"TORINO";"LAGRANGE";"VIA G.L. LAGRANGE";"15";"1";"22";"0";"23";"48";"1698";"0";"1746";"0";"1";"0";"1";"0";"1800";"0";"1800";"0";"1";"0";"1";"0";"4878";"0";"4878";"1";"24";"0";"25";"48";"8376";"0";"8424";"1";"1";"0";"0";"0";"0";""
"2014";" 001214 ";"RIVALTA DI TORINO";"COMPARTO 2";"VIA TORINO";"22";"0";"1";"0";"1";"0";"132";"0";"132";"0";"1";"0";"1";"0";"1404";"0";"1404";"0";"1";"0";"1";"0";"2700";"0";"2700";"0";"3";"0";"3";"0";"4236";"0";"4236";"1";"0";"0";"0";"0";"0";""
"2014";" 001265 ";"SETTIMO TORINESE";"MONVISO";"VIA MONVISO";"17";"3";"1";"0";"4";"277";"60";"0";"337";"0";"0";"1";"1";"0";"0";"692";"692";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"1";"5";"277";"60";"692";"1029";"2";"0";"0";"0";"1";"0";""
"2014";" 001228 ";"ROSTA";"CENTRO COMMERCIALE GIUVAL";"CORSO MONCENISIO";"75";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"3";"0";"1492";"0";"1492";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"3";"0";"1492";"0";"1492";"0";"1";"0";"0";"0";"0";""
"2014";" 001191 ";"PINEROLO";"TRIS S.A.S.";"STRADALE POIRINO";"35";"2";"2";"1";"5";"236";"47";"147";"430";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"1";"5";"236";"47";"147";"430";"1";"0";"0";"0";"0";"0";""
"2014";" 001256 ";"SANT'ANTONINO DI SUSA";"""LA PRIMULA""";"Via Moncenisio";"10";"1";"8";"0";"9";"36";"503";"0";"539";"0";"1";"1";"2";"0";"163";"1500";"1663";"0";"0";"0";"0";"0";"0";"0";"0";"1";"9";"1";"11";"36";"666";"1500";"2202";"1";"0";"1";"1";"0";"0";""
"2014";" 001156 ";"MONCALIERI";"Centro commerciale sequenziale VADO'";"via Ferrari";"8 e 10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2498";"0";"2498";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"2498";"0";"2498";"0";"0";"0";"0";"0";"0";""
"2014";" 001265 ";"SETTIMO TORINESE";"FANTINA";"VIA FANTINA";"20";"2";"0";"0";"2";"86";"0";"0";"86";"0";"0";"1";"1";"0";"0";"1180";"1180";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"3";"86";"0";"1180";"1266";"0";"0";"0";"0";"0";"0";""
"2014";" 001265 ";"SETTIMO TORINESE";"SETTIMO CIELO - COMPARTO B";"VIA PAGANINI";"52/54";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1200";"0";"1200";"0";"2";"0";"2";"0";"8800";"0";"8800";"0";"3";"0";"3";"0";"10000";"0";"10000";"0";"0";"0";"0";"0";"0";""
"2014";" 001217 ";"RIVAROLO CANAVESE";"URBAN CENTER";"C.SO INDIPENDENZA";"74";"0";"20";"0";"20";"0";"1804";"0";"1804";"0";"3";"1";"4";"0";"1696";"2500";"4196";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"1";"24";"0";"3500";"2500";"6000";"4";"1";"0";"0";"0";"0";""
"2014";" 001272 ";"TORINO";"MILLECITY CENTER -GALLERIE COMMERCIALI BENNET";"VIA GIORDANO BRUNO";"142";"1";"9";"1";"11";"1";"676";"42";"719";"0";"1";"0";"1";"0";"844";"0";"844";"0";"0";"1";"1";"0";"0";"4500";"4500";"1";"10";"2";"13";"1";"1520";"4542";"6063";"1";"0";"0";"0";"0";"0";""
"2014";" 001269 ";"STRAMBINO";"STRAMBINO DUE";"VIA CIRCONVALLAZIONE";"33";"1";"5";"0";"6";"50";"281";"0";"331";"0";"1";"1";"2";"0";"410";"1440";"1850";"0";"0";"0";"0";"0";"0";"0";"0";"1";"6";"1";"8";"50";"691";"1440";"2181";"1";"1";"1";"0";"1";"0";""
"2014";" 001219 ";"RIVOLI";"LA PIAZZETTA";"VIA NIZZA";"5";"0";"11";"1";"12";"0";"680";"35";"715";"0";"2";"1";"3";"0";"1400";"2200";"3600";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"2";"15";"0";"2080";"2235";"4315";"0";"3";"1";"0";"0";"0";""
