"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Alessandria";"Alessandria";"Via Sclavo";"11";"007";"0060030030";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Grassano";"12";"033";"0060030037";"Anno specificare";"Si";"1941";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Paolo Sacco";"11";"014";"0060030017";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Parini";"32";"018";"0060030019";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Parma";"1";"002";"0060030040";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Alessandria";"Via Remotti";"60";"022";"0060030022";"Anno specificare";"Si";"1911";"No";"1";""
"Comune";"Alessandria";"Arquata Scrivia";"Via Regonca";"20";"1";"0060090002";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Alessandria";"Balzola";"Via PIAVE";"11";"2";"0060110001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Alessandria";"Basaluzzo";"Via Santa Maria";"1";"1";"0060120001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Alessandria";"Bassignana";"VIA CAVOUR";"10";"01 EE";"0060130002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Alessandria";"Balzola";"Via ROMA";"71";"1";"0060110002";"Anno specificare";"Si";"1932";"No";"1";""
"Comune";"Alessandria";"Borghetto Di Borbera";"Strada PROVINCIALE";"";"02";"0060180003";"Anno specificare";"Si";"2003";"No";"1";""
"Comune";"Alessandria";"Bistagno";"VIA VIII MARZO";"15";"01";"0060170001";"Anno specificare";"Si";"1998";"No";"1";""
"Comune";"Alessandria";"Bistagno";"VIA VIII MARZO";"15";"03";"0060170003";"Anno specificare";"Si";"1998";"No";"1";""
"Comune";"Alessandria";"Bergamasco";"Piazza della Repubblica";"1";"2";"0060150002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Alessandria";"Borgoratto Alessandrino";"Piazza Roma";"7";"1";"0060190001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
