"EnteDiCompetenza";"Provincia";"Comune";"DenominazioneIndirizzo";"NumeroCivico";"CodiceEdificioRilevazione";"CodiceEdificioRegionePiemonte";"AnnoDiCostruzione";"AnnoDiCostruzioneSND";"AnnoEsattoDiCostruzione";"CopiaArchivioSiNo";"ContaEdifici";""
"Comune";"Torino";"Ivrea";"Viale BIELLA";"1";"33";"0011250026";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Ivrea";"Via LAGO SAN MICHELE";"1";"34";"0011250001";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Ivrea";"Via CIGLIANO";"S.N.";"26";"0011250014";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Ivrea";"Viale LIBERAZIONE";"14";"37";"0011250015";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Ivrea";"Via SAN GIOVANNI BOSCO";"5";"35";"0011250006";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Ivrea";"Via SAN NAZARIO";"26";"36/A";"0011250027";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Ivrea";"Via SAN NAZARIO";"26";"36";"0011250016";"Anno specificare";"Si";"1954";"No";"1";""
"Comune";"Torino";"Ivrea";"Viale LIBERAZIONE";"5";"23";"0011250011";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Ivrea";"Via ROSSINI";"snc";"32";"0011250005";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"La Cassa";"Via Baratonia";"3";"0011260001";"0011260001";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"La Cassa";"piazza XXV Aprile";"4";"0011260002";"0011260002";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"La Loggia";"Via Camposanto";"SN";"3";"0011270003";"Anno specificare";"Si";"2007";"No";"1";""
"Comune";"Torino";"Lauriano";"VIA COCCONATO";"32/a";"1";"0011290003";"Anno specificare";"Si";"2000";"No";"1";""
"Comune";"Torino";"Leini";"Località Tedeschi";"92";"02";"0011300006";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Torino";"Leini";"Piazzale MADONNINA";"1";"04";"0011300003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Lanzo Torinese";"Via Vittorio Veneto";"2";"1";"0011280003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"La Loggia";"Via DELLA CHIESA";"20";"1";"0011270002";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"La Loggia";"Via DELLA CHIESA";"45";"2";"0011270001";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Lanzo Torinese";"Via Tesso";"s.n.c.";"2";"0011280004";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Leini";"Via PROVANA";"22";"01";"0011300005";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Torino";"Leini";"VIA VOLPIANO";"8";"7";"0011300008";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Leini";"Succursale ""g. rodari"" via atzei";"13";"06";"0011300007";"Anno specificare";"Si";"2000";"No";"1";""
"Comune";"Torino";"Leini";"Via DOGLIOTTI";"19";"03";"0011300001";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Torino";"Levone";"Via Roma";"2";"1";"0011330001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Leini";"Via CAVIGLIETTO";"1";"05";"0011300002";"Anno specificare";"Si";"1995";"No";"1";""
"Comune";"Torino";"Locana";"VIA TORINO";"25";"1";"0011340004";"Anno specificare";"Si";"1988";"No";"1";""
"Comune";"Torino";"Locana";"Via TORINO";"49";"3";"0011340003";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Lombardore";"Via Giulio Costa";"5";"2";"0011350001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Loranze'";"VIA IVREA";"5";"2";"0011370001";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Torino";"Locana";"VIA TORINO";"31-33";"2";"0011340005";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Lombardore";"Via Aldo Moro";"1";"1";"0011350002";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Lombriasco";"Via PRUSSERO";"7-9";"1";"0011360002";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Torino";"Luserna San Giovanni";"STRADA FONTE BLANCIO";"22";"5";"0011390004";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Torino";"Luserna San Giovanni";"VIA MARCONI GUGLIELMO";"1";"2";"0011390002";"Anno specificare";"Si";"1996";"No";"1";""
"Comune";"Torino";"Luserna San Giovanni";"STRADA VECCHIA SAN GIOVANNI";"8";"3";"0011390001";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Torino";"Lugnacco";"VIA MARCONI GUGLIELMO";"1";"1";"0011380002";"Anno specificare";"Si";"1929";"No";"1";""
"Comune";"Torino";"Loranze'";"VIA IVREA";"6";"1";"0011370002";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Luserna San Giovanni";"VIA TEGAS LUIGI";"2";"1";"0011390005";"Anno specificare";"Si";"1935";"No";"1";""
"Comune";"Torino";"Macello";"VIA PICCOLATI";"1";"1";"0011420001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Luserna San Giovanni";"VIA PRALAFERA";"sn";"4";"0011390003";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Lusiglie'";"VIA GROMIS";"8";"1";"0011410001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Lusernetta";"Via Ponte Pietra";"9";"1";"0011400001";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Marentino";"PIAZZA UMBERTO I";"1";"02";"0011440002";"1 -  prima dell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Marentino";"PIAZZA UMBERTO I";"1";"01";"0011440001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Mazze'";"PIAZZA OLIVERO UGOLINO";"s.n.";"002";"0011480002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Mazze'";"VIA CASTONE";"snc";"5";"0011480006";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Strada da Marsè";"41";"13";"0011560004";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Mathi";"VIA GATTI CAPITANO";"2";"0011462001";"0011460001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Mompantero";"FRAZIONE PIETRASTRETTA";"11";"1";"0011540001";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Torino";"Mattie";"VIA ROMA";"2";"1";"0011470001";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Torino";"Mercenasco";"VICOLO PERETTO";"8";"01";"0011500001";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Torino";"Mazze'";"VIA DELGROSSO SEVERINO CAPITANO";"2";"001";"0011480003";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Mattie";"VIA ROMA";"4";"2";"0011470002";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Meana Di Susa";"PIAZZA EUROPA";"2";"1";"0011490001";"Anno specificare";"Si";"1958";"No";"1";""
"Comune";"Torino";"Mezzenile";"VIA VILLA INFERIORE";"97";"VILLA_INFE";"0011520001";"Anno specificare";"Si";"1935";"No";"1";""
"Comune";"Torino";"Moncalieri";"STRADA TORINO";"30";"19A";"0011560008";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"Moncalieri";"Strada Revigliasco";"88";"17";"0011560033";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"STRADA TORINO";"30";"19B";"0011560029";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"Moncalieri";"STRADA SANTA BRIGIDA";"43";"3";"0011560006";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Strada vignotto ";"21";"7";"0011560018";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Strada Vecchia del Moriondo";"6";"12";"0011560011";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Boccardo";"16";"18";"0011560007";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Bertero";"2";"23";"0011560010";"Anno specificare";"Si";"1983";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Gauthier";"23";"10";"0011560031";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"VIA ASILO DUBBIE'";"sn";"11";"0011560016";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"STRADA VIGNOTTO";"25";"6";"0011560005";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"VIA GALIMBERTI TANCREDI DUCCIO";"7";"9";"0011560024";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Viale Stazione Sangone";"15 BIS";"5";"0011560001";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"VIA CERNAIA";"26";"15";"0011560032";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Montalenghe";"CORSO MEINARDI CARLO AVVOCATO";"46";"0011590002";"0011590001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Pannunzio";"17";"16";"0011560015";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"via saluzzo ";"4";"19";"0011560019";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Montalto Dora";"Via Giacomo Matteotti";"59";"2";"0011600002";"Anno specificare";"Si";"1969";"No";"1";""
"Comune";"Torino";"Moncalieri";"VIA SAN MARTINO";"27";"4";"0011560012";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Pannunzio";"11";"20";"0011560002";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Montalto Dora";"Via Eduardo de Filippo";"12";"03";"0011600003";"Anno specificare";"Si";"1981";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Ponchielli";"22";"22";"0011560023";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Moncalieri";"Via Ponchielli";"18 BIS";"8";"0011560009";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Montalto Dora";"Via IVREA";"101";"1";"0011600001";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Montalto Dora";"VIA GIOVANNI XXIII PAPA";"1";"04";"0011600004";"Anno specificare";"Si";"1981";"No";"1";""
"Comune";"Torino";"Moncalieri";"VICOLO COTTA ANDREA";"2";"2";"0011560014";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Montalenghe";"VIA CAVOUR";"2";"0011590001";"0011590002";"Anno specificare";"Si";"1960";"No";"1";""
"Comune";"Torino";"Montanaro";"Via Ubertini";"2";"2";"0011610003";"Anno specificare";"Si";"1990";"No";"1";""
"Comune";"Torino";"Montanaro";"Via Trieste";"2";"1";"0011610002";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"Monteu Da Po";"Via MUNICIPIO";"1-3";"01";"0011620001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Nichelino";"PIAZZA MORO ALDO";"1";"12";"0011640023";"Anno specificare";"Si";"1993";"No";"1";""
"Comune";"Torino";"Moriondo Torinese";"VIA MATTA IGNAZIO";"3-5";"1";"0011630001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA CACCIATORI";"21/8";"003";"0011640001";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA CACCIATORI";"21/8";"8";"0011640008";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Nichelino";"VIALE KENNEDY";"21";"6";"0011640022";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA BOCCACCIO";"25";"14";"0011640010";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA CARDUCCI";"4";"7";"0011640006";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Nichelino";"VIALE KENNEDY";"42";"10A";"0011640019";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA SANGONE";"34";"16";"0011640018";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Torino";"Nichelino";"VIALE KENNEDY";"42";"10B";"0011640024";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA PUCCINI GIACOMO";"49";"11";"0011640004";"Anno specificare";"Si";"1993";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA PUCCINI";"39";"5";"0011640012";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA SANGONE";"38";"21";"0011640011";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA SAN MATTEO";"19";"4";"0011640016";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA MONCENISIO";"24";"9";"0011640017";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA NINO  COSTA";"16";"1";"0011640003";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nole";"VIA MARTIRI DELLA LIBERTA'";"16";"4";"0011660004";"Anno specificare";"Si";"1990";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA XXV APRILE";"111";"20";"0011640009";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Nole";"Via Genova";"7";"3";"0011660002";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA TRENTO";"34";"18";"0011640015";"Anno specificare";"Si";"1984";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA TOTI";"24";"15";"0011640013";"Anno specificare";"Si";"1997";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA VESPUCCI";"4";"13";"0011640005";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Nole";"Via XXIV Maggio";"44";"2";"0011660003";"Anno specificare";"Si";"1900";"No";"1";""
"Comune";"Torino";"Nichelino";"VIA XXV APRILE";"109";"17";"0011640002";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"Nole";"Via Torino";"29";"1";"0011660001";"Anno specificare";"Si";"1994";"No";"1";""
"Comune";"Torino";"None";"Via BRIGNONE";"19";"5";"0011680005";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"None";"VIA BRIGNONE FILIPPO";"25";"4";"0011680004";"Anno specificare";"Si";"1982";"No";"1";""
"Comune";"Torino";"None";"VIA DIODATA SALUZZO";"9";"2";"0011680002";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"None";"PIAZZA CAVOUR CAMILLO";"10";"1";"0011680001";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"None";"PIAZZA VIGO ANDREA MONSIGNORE";"3";"3";"0011680003";"Anno specificare";"Si";"1957";"No";"1";""
"Comune";"Torino";"Novalesa";"VIA SUSA";"19";"2";"0011690002";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"PIAZZETTA DE AMICIS EDMONDO";"12";"EE01";"0011710017";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA DI NANNI DANTE";"20";"MM02";"0011710020";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA BIXIO NINO";"33";"AA01.1";"0011710010";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA DI NANNI DANTE";"12";"AA01.3";"0011710009";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA CERVETTI CESARE";"7";"MM03";"0011710022";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Novalesa";"VIA GHETTO";"30";"1";"0011690001";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA FREJUS";"67";"EE02";"0011710008";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA GRAMSCI ANTONIO";"12";"AA02.3";"0011710011";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA DELLA BASSA";"52/A";"AA03";"0011710023";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Oglianico";"Via SAN GRATO";"8";"1";"0011700001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA FREJUS";"65";"AA02.1";"0011710004";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Orbassano";"STRADA VOLVERA";"44/A";"EE01.2";"0011710021";"7 - dal 1976";"Si";"";"No";"1";""
"Comune";"Torino";"Osasio";"VIA BREME";"12";"A1";"0011740002";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Orio Canavese";"Via San Giovanni Bosco";"8";"1";"0011720001";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Torino";"Orbassano";"VIA NEGHELLI";"1";"EE02.1";"0011710018";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Torino";"Osasco";"Viale EUROPA";"snc";"ELEMENTARE";"0011730006";"Anno specificare";"Si";"2007";"No";"1";""
"Comune";"Torino";"Oulx";"PIAZZA GARAMBOIS ALDO";"4_6";"2";"0011750002";"Anno specificare";"Si";"1957";"No";"1";""
"Comune";"Torino";"Pancalieri";"PIAZZA VITTORIO EMANUELE II";"5A";"1";"0011780001";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Torino";"Ozegna";"via san rocco";"10";"1";"0011760001";"5 - tra il 1946 ed il 1960";"Si";"";"No";"1";""
"Comune";"Torino";"Osasio";"VIA VERRUA";"4";"A2";"0011740001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Pavarolo";"Via Barbacana";"2";"1";"0011800001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Pancalieri";"VIA CIRCONVALLAZIONE";"1A";"4";"0011780004";"Anno specificare";"Si";"2014";"No";"1";""
"Comune";"Torino";"Palazzo Canavese";"VIA ASILO";"27";"001";"0011770001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Oulx";"REGIONE SOTTO LA ROCCA";"14";"1";"0011750001";"Anno specificare";"Si";"1981";"No";"1";""
"Comune";"Torino";"Parella";"VIA CARANDINI FRANCESCO";"30";"1";"0011790001";"Anno specificare";"Si";"1903";"No";"1";""
"Comune";"Torino";"Perosa Argentina";"PIAZZA EUROPA";"1";"1";"0011840003";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Pavone Canavese";"VIA VIGNALE";"13";"3";"0011810003";"Anno specificare";"Si";"1981";"No";"1";""
"Comune";"Torino";"Pavone Canavese";"VIA VIGNALE";"13";"4";"0011810001";"Anno specificare";"Si";"1988";"No";"1";""
"Comune";"Torino";"Pavarolo";"Via MAESTRA";"36";"2";"0011800002";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Pavone Canavese";"VIA VIGNALE";"2";"2";"0011810002";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Pecetto Torinese";"STRADA VALLE SAUGLIO";"1";"1";"0011830001";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Pecetto Torinese";"STRADA VALLE SAUGLIO";"3";"2";"0011830002";"Anno specificare";"Si";"1979";"No";"1";""
"Comune";"Torino";"Pavone Canavese";"PIAZZA DON MILANI LUIGI";"1";"1";"0011810004";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA MANZONI ALESSANDRO";"5";"05";"0011890004";"Anno specificare";"Si";"1967";"No";"1";""
"Comune";"Torino";"Pertusio";"VIA FORNERIS";"25";"2";"0011870003";"Anno specificare";"Si";"1968";"No";"1";""
"Comune";"Torino";"Perosa Argentina";"VIA TIBALDO NIERO";"1";"2";"0011840001";"3 - tra il 1900 ed il 1920";"Si";"";"No";"1";""
"Comune";"Torino";"Perosa Argentina";"VIALE AMEDEO DI SAVOIA DUCA D'AOSTA";"3";"3";"0011840002";"Anno specificare";"Si";"1920";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA MAIOLO";"11";"02";"0011890002";"Anno specificare";"Si";"1975";"No";"1";""
"Comune";"Torino";"Perrero";"BORGATA BORGO";"9";"TOMM897039";"0011860002";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Torino";"Pertusio";"VIA SAN FIRMINO";"16";"1";"0011870001";"2 - nell'Ottocento";"Si";"";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA GRANGE";"24";"01";"0011890003";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA PAVESE CESARE";"20";"07";"0011890009";"Anno specificare";"Si";"2006";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA SAN BERNARDO";"12";"04";"0011890005";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"Pinasca";"via De Amicis";"2";"1";"0011900003";"Anno specificare";"Si";"1962";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA PAVESE CESARE";"20";"08";"0011890010";"Anno specificare";"Si";"2010";"No";"1";""
"Comune";"Torino";"Pinasca";"VIA CADUTI PER LA LIBERTA'";"16";"2";"0011900001";"Anno specificare";"Si";"2004";"No";"1";""
"Comune";"Torino";"Pianezza";"VIA MUSINE'";"26";"03";"0011890001";"Anno specificare";"Si";"1985";"No";"1";""
"Comune";"Torino";"Pinerolo";"CORSO TORINO";"91";"16";"0011910019";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA EINAUDI LUIGI";"38";"20";"0011910003";"Anno specificare";"Si";"1982";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA GIOVANNI XXIII PAPA";"27/29";"4";"0011910033";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA GIOVANNI XXIII PAPA";"19";"17";"0011910002";"Anno specificare";"Si";"1982";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA BEATA MARGHERITA D'ACAJA";"13";"3";"0011910032";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIALE KENNEDY";"24";"14";"0011910020";"Anno specificare";"Si";"1966";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA BATTITORE";"11/b";"21";"0011910044";"Anno specificare";"Si";"2012";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA BATTITORE";"11";"1";"0011910027";"Anno specificare";"Si";"1981";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA BATTITORE";"6";"19";"0011910005";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIALE KENNEDY";"24";"6";"0011910015";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA PORRO IGNAZIO";"10";"11";"0011910029";"Anno specificare";"Si";"1972";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA MONTEGRAPPA";"27";"2";"0011910031";"Anno specificare";"Si";"1933";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA MONTEGRAPPA";"29";"9";"0011910035";"Anno specificare";"Si";"1970";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA MAESTRA BAUDENASCA";"30";"8";"0011910016";"Anno specificare";"Si";"1933";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA ROCCHIETTA";"1";"15";"0011910001";"Anno specificare";"Si";"1977";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA MONTEGRAPPA";"29";"10";"0011910028";"Anno specificare";"Si";"2003";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA STAZIONE";"12";"7";"0011910034";"Anno specificare";"Si";"1978";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA ROCHIS";"29";"18";"0011910004";"Anno specificare";"Si";"1976";"No";"1";""
"Comune";"Torino";"Pino Torinese";"Via Camandona";"12";"1";"0011920006";"Anno specificare";"Si";"1965";"No";"1";""
"Comune";"Torino";"Pino Torinese";"Via Ernesto Molina";"21";"5";"0011920008";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA SERAFINO ADOLFO";"1";"13";"0011910014";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Torino";"Pino Torinese";"Via Folis";"8";"3";"0011920007";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Torino";"Pinerolo";"VIA SERAFINO";"7";"5";"0011910017";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Torino";"Pino Torinese";"Via Pergolesi";"2";"2";"0011920001";"Anno specificare";"Si";"1984";"No";"1";""
"Comune";"Torino";"Pino Torinese";"Via Podio";"41";"4";"0011920003";"Anno specificare";"Si";"1961";"No";"1";""
"Comune";"Torino";"Piobesi Torinese";"CORSO ITALIA";"4";"3";"0011930004";"Anno specificare";"Si";"1987";"No";"1";""
"Comune";"Torino";"Piobesi Torinese";"CORSO ITALIA";"4";"1";"0011930001";"Anno specificare";"Si";"1932";"No";"1";""
"Comune";"Torino";"Piobesi Torinese";"CORSO ITALIA";"4";"2";"0011930003";"Anno specificare";"Si";"1974";"No";"1";""
"Comune";"Torino";"Piobesi Torinese";"PIAZZA I MAGGIO";"7";"4";"0011930002";"Anno specificare";"Si";"1971";"No";"1";""
"Comune";"Torino";"Piobesi Torinese";"VIA XXV APRILE";"8";"7";"0011930006";"Anno specificare";"Si";"2010";"No";"1";""
"Comune";"Torino";"Piossasco";"PIAZZA FALCONE E BORSELLINO";"6";"0011940009";"0011940013";"Anno specificare";"Si";"1982";"No";"1";""
"Comune";"Torino";"Piossasco";"VIA ALFANO FRANCESCO";"6";"0011940004";"0011940004";"Anno specificare";"Si";"1980";"No";"1";""
"Comune";"Torino";"Piossasco";"VIA ALIGHIERI DANTE";"20";"0011940010";"0011940008";"6 - tra il 1961 ed il 1975";"Si";"";"No";"1";""
"Comune";"Torino";"Piossasco";"VIA CAVOUR";"77";"0011941009";"0011940016";"Anno specificare";"Si";"2006";"No";"1";""
"Comune";"Torino";"Piossasco";"Via Volvera";"14";"0011940007";"0011940005";"Anno specificare";"Si";"1973";"No";"1";""
"Comune";"Torino";"Piossasco";"Via DEL CAMPETTO";"20";"0011940003";"0011940012";"Anno specificare";"Si";"1999";"No";"1";""
"Comune";"Torino";"Piossasco";"VIA BATTISTI CESARE";"8";"0011940006";"0011940006";"4 - tra il 1921 ed il 1945";"Si";"";"No";"1";""
