WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1393160.552273 4987705.897941,1393246.588191 4987631.531161,1393261.458417 4987619.385035,1393384.442369 4987513.943113);167;X;2;;20061207000000;;CORSO COSENZA;B;Bidirezionale;LUNGO BANCHINA CENTRALE;295;;5142;685 P;;;;;;3;;DA CORSO AGNELLI A CORSO UNIONE SOVIETICA
LINESTRING (1393541.448333 4988429.417306,1393530.304787 4988407.523387,1393517.279979 4988414.651652,1393164.045856 4987738.468178,1393174.763074 4987731.327713,1393149.307 4987684.849);29;X;2;;;;CORSO AGNELLI;B;Bidirezionale;SUL MARCIAPIEDE OVEST LATO EST;868;;3647;;;20-V;;;;3;;DA C.SO COSENZA A VIA FILADELFIA
LINESTRING (1392944.726679 4987294.955334,1392940.793061 4987296.835542,1392936.272856 4987300.304302,1392983.755469 4987390.665637,1393038.81607 4987496.088644,1393067.530793 4987550.18308,1393098.869451 4987609.561014,1393105.553434 4987622.745113,1393140.068785 4987688.401554,1393149.215291 4987683.1279);28;;2;;20040107000000;;CORSO AGNELLI;M;Monodirezionale;MARCIAPIEDE OVEST SUL LATO EST;459;X;4111;673 P;;20-V;;;;2;;DA CORSO COSENZA A CORSO TAZZOLI
LINESTRING (1392602.164823 4986664.22409,1392603.173635 4986665.673371,1392610.739785 4986666.807614,1392612.316075 4986667.626783,1392613.829312 4986669.076099,1392616.802018 4986675.033308,1392635.023844 4986710.320672,1392643.60917 4986726.686375,1392662.219787 4986762.697341,1392691.246032 4986816.372875,1392698.854109 4986825.076858,1392704.860487 4986834.781263,1392707.891532 4986848.564708,1392709.793524 4986851.66611,1392727.712572 4986886.582003,1392752.866274 4986934.008953,1392768.582965 4986964.222691,1392780.822093 4986987.305527,1392824.994492 4987071.126306,1392852.254749 4987123.456071,1392859.385177 4987136.22401,1392879.005974 4987173.841144,1392903.962167 4987221.560242,1392907.666101 4987223.160995,1392922.481803 4987250.87359,1392929.009988 4987265.241825,1392944.726679 4987294.955334);166;X;10;;;;CORSO AGNELLI;B;Bidirezionale;MARCIAPIEDE EST DEL CORSO;723;;0;;;;;;;3;;DA AGNELLI CIV.210 A CORSO TAZZOLI
LINESTRING (1395825.80159 4991340.142927,1395749.540081 4991188.403345,1395732.259155 4991196.290792);162;;1;;20061130000000;;CORSO RE UMBERTO;M;Monodirezionale;BANCHINA EST DEL CORSO DIREZIONE DA SUD VERSO NORD;189;X;3644;484 P;;;;;;2;;DA CORSO MATTEOTTI - A PROLUNGAMENTO ARCIVESCOVADO
LINESTRING (1395485.104341 4990766.685228,1395466.460131 4990728.5574,1395479.454569 4990720.649381,1395440.471215 4990644.111293,1395418.079437 4990602.1343,1395411.017213 4990589.142591,1395406.214929 4990586.600729,1395405.084959 4990582.92917,1395405.084959 4990577.845446,1395394.067939 4990556.098454,1395347.689166 4990467.286456,1395340.062017 4990454.012314,1395320.466869 4990415.389264,1395315.947068 4990413.129835,1395313.96965 4990410.023107,1395314.252132 4990404.656984,1395290.240634 4990358.621137,1395283.743415 4990345.629429,1395220.689575 4990227.424107,1395208.825067 4990230.813268,1395190.180858 4990223.752548,1395170.689201 4990189.013847,1395176.321406 4990162.405707,1395179.711236 4990155.909852,1395181.123689 4990150.826163,1395096.030455 4989989.671391,1395090.507056 4989980.156888,1395032.032004 4989900.794471,1394980.901659 4989837.530525,1394940.894788 4989787.313389,1394930.160251 4989794.938975,1394900.781463 4989757.658412,1394905.583787 4989752.009822,1394883.832189 4989725.17914,1394885.527125 4989719.812983,1394837.147729 4989660.36612,1394834.322863 4989658.106691,1394830.368027 4989655.847262,1394812.006301 4989633.252971,1394800.458029 4989616.167983,1394763.904072 4989572.219783,1394743.917757 4989578.620287,1394740.0142 4989574.093124,1394732.675457 4989574.873674,1394723.30688 4989550.676586,1394738.452778 4989540.373332,1394733.612319 4989534.597275,1394669.836187 4989456.783759,1394655.908701 4989459.707505,1394649.97527 4989452.682554,1394638.889121 4989433.793214,1394627.959081 4989434.261558,1394613.558559 4989415.465879,1394607.468978 4989397.981536,1394593.994324 4989387.009313,1394604.768173 4989377.954918,1394573.638911 4989338.218883,1394530.699585 4989285.922026,1394522.391768 4989274.607099);163;;1;;;;CORSO RE UMBERTO;M;Monodirezionale;BANCHINA OVEST DEL CORSO DIREZIONE NORD VERSO SUD;1916;X;0;;;;;;;2;;DA CORSO MATTEOTTI A PIAZZALE COSTANTINO IL GRANDE
LINESTRING (1395696.368746 4991162.754222,1395710.859007 4991154.980597,1395638.700086 4991019.401238,1395625.140643 4991024.20253,1395615.818558 4991014.88238,1395599.091076 4990983.685773,1395613.215484 4990975.495355,1395604.740807 4990957.984788,1395599.373558 4990951.206501,1395584.388436 4990921.979481,1395584.670919 4990917.460623,1395533.213344 4990821.081344,1395503.219529 4990762.201277,1395497.287275 4990761.353978,1395485.140285 4990766.720135);5;X;1;;;;CORSO RE UMBERTO;B;Bidirezionale;BANCHINA OVEST DEL CORSO DIREZIONE NORD VERSO SUD;509;;5086;569;;;;;;3;;DA CORSO MATTEOTTI A CORSO STATI UNITI
LINESTRING (1393451.283518 4996280.210299,1393455.323124 4996286.51505,1393456.230131 4996291.576783,1393484.759031 4996289.05533,1393489.014753 4996303.868994);161;X;5;;20041007000000;;ATTRAVERSAMENTO STRADA ALTESSANO;B;Bidirezionale;TORINO NORD;57;;0;0;X;4-V;;X;X;3;;INCROCIO
LINESTRING (1392702.21391 4995977.806264,1392853.910245 4996320.454932,1392852.141349 4996334.943774,1392844.875455 4996352.868039,1392875.761697 4996349.194968);160;X;5;;20041007000000;;GRANDE TORINO;B;Bidirezionale;LATO OVEST DEL CORSO;440;;0;0;X;4-V;;X;X;3;;DA DRUENTO A GROSSETO
LINESTRING (1393447.056999 4996182.858514,1393449.656983 4996218.020385,1393451.682271 4996256.672418,1393453.029442 4996276.377518,1393451.497574 4996279.41622);158;X;5;;20041007000000;;STRADA ALTESSANO;B;Bidirezionale;LATO OVEST DELLA STRADA;97;;0;0;X;4-V;;X;X;3;;DA DRUENTO A mt. 100 DELLA STRADA
