WKT_GEOM;ID_PISTA;BIDI;CIRCOSCRIZ;DATA_ESECU;DATA_ORDIN;DATA_RILIE;DENOMINAZI;DIREZIONE;DIREZIONE_;LOCALIZZAZ;LUNG_M;MONO;N_ORDINANZ;N_PROTOCOL;PUMS;RIFER_PIAN;RILIEVO_TR;SEGNALETIC;SEMAFORO;SEZIONE_M;STATO_CONS;TRACCIATO
LINESTRING (1392282.773603 4989066.987536,1392309.970623 4989518.910343);33;X;2;;;;VIA CASTELGOMBERTO;B;Bidirezionale;LATO OVEST DELLA VIA;453;;275;28 P;;19-V;;;;3;;DA VIA TANCREDI POZZI A VIA FILADELFIA
LINESTRING (1392493.140541 4988245.21518,1392960.584998 4987844.807882);35;;2;;20081206000000;;CORSO COSENZA;M;Monodirezionale;LATO SUD/OVEST DEL CORSO;615;X;5142;685 P;;42-V;;;;2;;DA PIAZZA PITAGORA A VIA TRIPOLI
LINESTRING (1392083.570688 4993639.744642,1392098.775731 4993584.259141,1392169.259521 4993474.985819,1392250.253143 4993406.939881,1392268.575051 4993381.964242,1392303.489191 4993367.362426,1392355.085617 4993352.414136,1392400.69986 4993347.18226,1392476.225074 4993348.677072,1392620.518958 4993354.528721,1392630.901374 4993450.720261);48;X;4;;20061130000000;;CORSO APPIO CLAUDIO;B;Bidirezionale;LATO NORD PER 350 mt.;779;;73;1 P;;57-V;;;;3;;MARCIAPIEDE NORD
LINESTRING (1392093.046031 4990576.603546,1392106.348162 4990613.60115,1392637.223921 4992235.301921);37;X;3;;20061130000000;;CORSO MONTE CUCCO;B;Bidirezionale;TORINO OVEST;1746;;421;43 P;;16-V;;X;;3;;DA CORSO BRUNELLISCHI A CORSO FRANCIA
LINESTRING (1392505.964846 4990015.776142,1392523.22642 4990287.057743);38;;3;;;;CORSO TRAPANI;;;LATO PERIMETRALE EST DI PARCO RUFFINI;272;;431;53 P;;18-V;;X;X;3;;VIA TIRRENO - CORSO ROSSELLI
LINESTRING (1392523.22642 4990287.057743,1392548.355113 4990284.903161,1392575.819504 4990283.331266,1392574.629926 4990292.050328,1392690.812702 4990252.021981,1392720.552159 4990229.431086,1392738.792577 4990249.247748,1392960.606699 4990173.074425,1393112.337781 4990120.622504,1393289.022368 4990057.947701,1393371.338768 4990031.308534,1393378.837248 4990025.312866,1393388.926169 4990022.860124,1393411.966975 4990017.409509,1393612.30402 4989948.364635,1393608.901581 4989935.21965,1393621.767437 4989931.078563,1393625.038405 4989926.937476,1393627.873274 4989923.668209,1393628.309373 4989912.552717,1393630.27198 4989907.103938,1393635.069392 4989906.450093,1393642.701737 4989908.193694,1393645.972705 4989906.886003,1393651.932119 4989904.4113);40;;3;;20041007000000;;CORSO ROSSELLI;;;BANCHINA CENTRALE DELLA VIA;1248;;407;57 P;;35-V;;;;0;;CORSO TRAPANI/PIAZZA MARMOLADA
LINESTRING (1394049.771922 4991813.942314,1394071.199941 4991776.430382,1394095.98643 4991742.453916,1394134.936729 4991724.757827,1394179.71633 4991739.790752);41;X;3;;;;PIAZZA ADRIANO;B;Bidirezionale;LATO SUD DELLA PIAZZA;175;;423;45 P;;;;;;3;;PIAZZA ADRIANO
LINESTRING (1394179.71633 4991739.790752,1394800.504406 4991419.935482);42;X;3;;;;CORSO VITTORIO EMANUELE II;B;Bidirezionale;BANCHINA CENTRALE LATO SUD;698;;910;100 P;;32-V;;;;3;;DA CORSO FERRUCCI A CORSO CASTELFIDARDO
LINESTRING (1393702.458414 4989928.090555,1393746.97352 4989958.205024,1393844.746048 4990006.492667,1393929.865636 4990061.6786,1394045.547457 4990159.44147,1394098.307695 4990131.671447,1394098.307695 4990127.307038);44;X;3;;;;CORSO LIONE;B;Bidirezionale;LATO EST DEL CORSO;480;;1927;384 P;;;;;;3;;DA CORSO ROSSELLI A CORSO MEDITERRANEO
LINESTRING (1392970.260067 4993229.795891,1392637.223921 4992235.301921);45;X;4;;20061130000000;;CORSO MONTE GRAPPA;B;Bidirezionale;BANCHINA CENTRALE;1049;;4937;636 P;;16-V;;X;;3;;TRATTO: COMPLETO
LINESTRING (1395343.733506 4993729.447387,1395304.383818 4993496.696921);49;X;4;;;;VIA LIVORNO;B;Bidirezionale;LATO OVEST DEL TRATTO;236;;5708;627 P;;52-V;;;;3;;DA VIA TREVISO A PONTE AMEDEO IX
LINESTRING (1394712.719948 4995579.126755,1394824.363071 4995572.051341);50;X;5;;;;CORSO GROSSETO;B;Bidirezionale;LATO NORD DEL CORSO;112;;3959;513 P;;;;;;3;;DA VIA VENARIA A VIA CONFALONIERI
LINESTRING (1396000.876852 4994010.86523,1395978.613346 4994025.303799,1395968.09467 4994032.895317,1395951.696135 4994043.031174,1395927.961403 4994057.480215,1395906.384379 4994071.28225,1395900.774324 4994075.811065,1395888.513582 4994091.629188,1395878.126181 4994099.988697,1395787.646421 4994214.73454,1395699.788419 4994326.295856,1395535.076778 4994538.651638,1395509.400203 4994568.719388);51;X;5;;20041007000000;;VIA STRADELLA;B;Bidirezionale;LATO OVEST DELLA VIA;749;;2380;343 P;X;4-V;;X;X;3;;DA CORSO MORTARA A LARGO GIACHINO
LINESTRING (1394739.098742 4995578.255083,1394492.56974 4995903.17744,1394294.445231 4996164.489392);52;;5;;20041007000000;;VIA CONFALONIERI;M;Monodirezionale;LATO EST DELLA VIA;736;X;1269;170 P;X;4-V;;X;X;2;;CORSO GROSSETO - VIA SANSOVINO
LINESTRING (1391931.379555 4995058.011582,1391907.650301 4995062.15986,1391891.263416 4995075.204524,1391878.85166 4995088.908757,1391868.602415 4995114.65199,1391845.555527 4995260.952943,1391833.133855 4995457.602158,1391838.065252 4995586.62857,1391821.587245 4995781.560264,1391801.566257 4995791.011546);53;X;5;;20041007000000;;VIA DELLE PRIMULE;B;Bidirezionale;TORINO NORD / OVEST;783;;947;123 P;;6-V;;X;;3;;VIA DELLE PRIMULE N.C. 28 A CORSO FERRARA
LINESTRING (1392905.05889 4994664.869147,1393203.131164 4994871.780645,1393180.337474 4994885.70636,1393200.387503 4994898.788078,1393382.300919 4995026.660767);54;X;5;;;;VIA CINCINNATO;B;Bidirezionale;BANCHINA CENTRALE E LATO NORD/OVEST DELLA VIA;636;;580;89 P;;28-V;;;;3;;DA CORSO MOLISE A CORSO TOSCANA
LINESTRING (1397839.46383 4995194.271378,1397831.279743 4995216.479228,1397941.753416 4995440.954045,1397928.342729 4995448.696324,1398109.957536 4995816.171258,1398122.602873 4995809.715842,1398148.221958 4995875.486447,1398201.031299 4996002.383564,1398302.919127 4996214.472856,1398306.204638 4996218.726442,1398323.649898 4996219.452029,1398333.849982 4996224.251183,1398343.750066 4996232.649704,1398351.25011 4996242.84789,1398356.050152 4996259.04502,1398354.550113 4996273.142546,1398352.150111 4996284.540521,1398349.450109 4996288.139887,1398531.95773 4996665.137524,1398545.901304 4996693.227679,1398595.06172 4996798.35149,1398601.538163 4996805.152314,1398620.368187 4996844.720287,1398620.368187 4996849.632711,1398671.079092 4996953.7311,1398673.366786 4996956.953509,1398675.868767 4996959.654921,1398683.392282 4996960.84158,1398691.612496 4996962.116905,1398697.139915 4996963.675627,1398700.891652 4996967.21617,1398705.525661 4996970.06762,1398710.060967 4996974.743787,1398714.312808 4996979.419955,1398716.709649 4996985.930696,1398719.415047 4996993.02336,1398721.966128 4997002.659093,1398722.962711 4997009.475596,1398723.585836 4997016.001948);55;X;6;;;;C.SO G. CESARE - LINEA 4;B;Bidirezionale;LATO OVEST ED EST DI CORSO GIULIO;2095;;2580;;X;1-V;;X;X;3;;DA P.ZZA DERNA - INTERZEZIONE VERCELLI A ROMANIA/R
LINESTRING (1391228.418814 4985992.836413,1391407.239166 4985890.520716,1391589.123408 4985816.661956,1391610.434254 4985806.626568,1391903.200376 4985686.718431);97;X;10;;20071206000000;;VIA PLAVA;B;Bidirezionale;MARCIAPIEDE NORD E BANCHINA CENTRALE DEL CORSO;742;;5145;688 P;;70-V;;;;3;;CORSO UNIONE SOVIETICA/VIA FACCIOLI
LINESTRING (1391656.540011 4985379.044108,1392204.292511 4986044.73015,1392263.627788 4986115.207451,1392331.700513 4986198.26999,1392380.298643 4986258.585369,1392384.54046 4986271.277718,1392394.062783 4986283.242327,1392408.012381 4986311.253271,1392422.48909 4986327.133997,1392431.494594 4986340.269721,1392434.759412 4986347.339709,1392446.989083 4986362.017081,1392458.199485 4986375.797272);95;X;10;;20061130000000;;CORSO UNIONE SOVIETICA;B;Bidirezionale;BANCHINA NORD/OVEST DEL CORSO;1281;;3543;469 P;;;;;;3;;DA PIAZZA CAIO MARIO A STRADA DEL DROSSO
LINESTRING (1390291.729425 4987874.780331,1390384.082459 4987835.76476,1390466.914523 4987784.378384,1390681.889218 4987645.135341);89;X;10;;20061130000000;;STRADA DEL PORTONE;B;Bidirezionale;TORINO SUD - COMUNE DI GRUGLIASCO;454;;2982;369 P;;22-V;;X;X;3;;DAL N.C. 24 - CONFINE COMUNALE
LINESTRING (1392445.313473 4986465.600552,1392430.579631 4986472.351634,1391062.700836 4987250.359874);94;;10;;;;CORSO SETTEMBRINI;M;Monodirezionale;MARCIAPIEDE LATO NORD DEL CORSO;1590;X;1292;147 P;;45-V;;;;2;;DA CORSO AGNELLI A CORSO SETTEMBRINI FRONTE CIV.19
LINESTRING (1391661.06962 4987784.578126,1391668.687395 4987777.396463,1391684.150839 4987769.368498,1391700.946549 4987764.730613,1391709.226472 4987763.795741,1391717.821834 4987763.730679,1391726.115276 4987764.538594,1391742.979398 4987768.919485,1391758.455284 4987776.656529,1391764.967786 4987781.552794);99;;10;;;;PIAZZA CATTANEO;;;MARCIAPIEDE SEMI ARCO SUD DELLA PIAZZA;113;;1163;125 P;;;;;;3;;COLLEGAMENTO CORSO ORBASSANO E CORSO TAZZOLI
LINESTRING (1391063.038343 4987424.923684,1391661.069154 4987784.540704);88;X;10;;;;CORSO ORBASSANO;B;Bidirezionale;MARCIAPIEDE LATO SUD DEL CORSO;698;;1159;121 P;;45-V;;;;3;;DA CORSO SETTEMBRINI A PIAZZA CATTANEO
LINESTRING (1393653.663944 4984814.155572,1393637.415071 4984927.432704,1393638.714187 4984936.30077,1393619.996178 4984933.182734,1393607.907493 4984936.30077,1393604.982841 4984928.505698,1393597.768599 4984920.320905,1393594.843946 4984915.448989,1393589.774467 4984906.874437);93;X;10;;;;VIA ARTON;B;Bidirezionale;MARCIAPIEDE LATO EST DEL CORSO;190;;1082;105 P;;;;;;3;;ROTONDA ARTON CON STRADA CASTELLO DI MIRAFIORI
LINESTRING (1392661.639921 4985069.801705,1392641.218778 4985093.992022,1392632.899011 4985118.938274,1392823.567153 4985819.915082,1392842.475631 4985839.569717,1393103.412766 4985884.926574,1393151.938818 4985892.566386);98;X;10;;20071206000000;;STRADA DELLE CACCE - VIA FORMIGGINI;B;Bidirezionale;MARCIAPIEDE LATO SUD E PERCORSO LATO EST DELLE VIE;1126;;2508;282 P;;69-V;;;;3;;DA VIA ONORATO VIGLIANI A STRADA CASTELLO DI MIRAFIORI
LINESTRING (1390681.889218 4987645.135341,1390717.938972 4987618.002958,1390943.564302 4987498.127049,1391009.776434 4987463.353897,1390999.465661 4987440.772528,1390963.13249 4987434.390873,1390916.488546 4987424.081968,1390924.344358 4987383.828277,1390937.601061 4987375.482997);90;X;10;;;;STRADA DEL PORTONE;B;Bidirezionale;MARCIAPIEDE LATO NORD E ATTRAVERSAMENTO CORSO;542;;1243;143 P;;;;;;3;;NUOVO TRATTO DI COLLEGAMENTO A C.SO ORBASSANO
LINESTRING (1394873.026444 4988833.609729,1394907.031183 4988803.709363,1394935.857566 4988778.156039,1394977.405823 4988742.373618,1395003.85872 4988720.883731,1395035.465731 4988700.414923,1395055.716787 4988689.894261,1395119.890124 4988657.102645,1395127.831689 4988653.132595,1395301.169032 4988583.99862);86;X;9;;;;CORSO BRAMANTE / CORSO LEPANTO;B;Bidirezionale;MARCIAPIEDE SUD DEL CORSO;501;;4114;722 P;;23-V;;X;X;3;;VIA GIORDANO BRUNO - PIAZZA CARDUCCI
LINESTRING (1393413.766911 4986460.438973,1392812.148246 4986773.221074,1392711.146208 4986849.529507);85;;9;;;;CORSO TRAIANO;M;Monodirezionale;MARCIAPIEDE LATO NORD DEL CORSO;805;X;3294;446 P;;44-V;;;;2;;DA CORSO BENEDETTO CROCE A CORSO AGNELLI
LINESTRING (1394107.951417 4986887.197355,1394141.132851 4986967.248943,1394163.635157 4987021.379045,1394221.523192 4987159.227439,1394252.658396 4987218.799837,1394388.033961 4987545.274053,1394426.46109 4987639.945846,1394431.776163 4987642.766854,1394437.481633 4987647.043736,1394442.309404 4987652.855935,1394443.40661 4987658.887438,1394443.51633 4987663.931959,1394442.309404 4987670.292456,1394441.321919 4987675.775661,1394445.162139 4987687.071028,1394450.223916 4987699.190148,1394654.617764 4988171.745839,1394663.862591 4988193.918548,1394668.53397 4988198.295663,1394671.891485 4988205.590817,1394672.913342 4988213.031886,1394671.745514 4988219.013916,1394673.935265 4988224.558239,1394703.539822 4988291.696442,1394722.773991 4988333.768221,1394750.586652 4988378.687291,1394777.87769 4988418.786055,1394790.843039 4988437.634838,1394815.618401 4988472.878803,1394831.951363 4988493.4105,1394849.498436 4988512.147444,1394868.330438 4988529.671654,1394896.170986 4988551.071967,1394930.887746 4988581.654605,1394946.537009 4988598.75838,1394956.899552 4988612.788667,1394981.342451 4988647.546703,1395027.899972 4988731.424165);83;X;9;;;;VIA ZINO ZINI;B;Bidirezionale;MARCIAPIEDE EST DELLA VIA;2084;;3544;470 P;;;;;;3;;CORSO BRAMANTE/VIA BOSSOLI
LINESTRING (1394558.362093 4988252.613976,1394866.036832 4988834.800213);81;X;9;;;;VIA GIORDANO BRUNO;B;Bidirezionale;MARCIAPIEDE EST DEL CORSO;658;;1293;148 P;;21-V;;;;3;;CORSO BRAMANTE/CORSO SEBASTOPOLI
LINESTRING (1396037.549292 4987970.664357,1396128.246896 4988142.364032,1396083.123207 4988159.149399,1396114.766928 4988253.445564,1396066.121775 4988299.69757,1396096.196935 4988329.059856);77;X;8;;;;CORSO SICILIA;B;Bidirezionale;LATO OVEST DEL CORSO;451;;272;64 P;;;;;;3;;DA CORSO MONTEROTONDO E A SUD DA VIA VILLA GLORI
LINESTRING (1397547.229582 4990782.06105,1397652.928035 4990883.462621,1397734.613703 4990925.158861,1397976.180649 4991049.343157,1398325.743092 4991229.983403,1398361.286435 4991249.055732);80;;8;;;;CORSO CASALE;;;LATO NORD DEL CORSO;944;;2064;212 P;;;;;;3;;DA PONTE VITTORIO EMANUELE I A PONTE REGINA MARGHE
LINESTRING (1397153.952872 4990243.40662,1397411.13268 4990598.724705,1397471.10087 4990664.169028,1397466.531551 4990687.846244,1397547.229582 4990782.06105);79;X;8;;;;CORSO MONCALIERI;B;Bidirezionale;LATO OVEST DEL CORSO;676;;2063;211 P;;;;;;3;;DA PONTE UMBERTO I A PONTE VITTORIO EMANUELE I
LINESTRING (1396528.585464 4988792.362077,1396543.121787 4988816.438305,1396566.795137 4988869.572005,1396612.948744 4989025.149875,1396645.785224 4989215.829462,1396698.630301 4989352.6144,1396825.377023 4989621.230641,1396848.02823 4989663.464474);78;X;8;;;;CORSO MONCALIERI;B;Bidirezionale;LATO OVEST DEL CORSO;934;;1273;168 P;;;;;;3;;DA PONTE ISABELLA A m 27.00 circa a SUD DEL PROTEN
LINESTRING (1396083.901089 4988380.973714,1396092.976689 4988366.91383,1396096.153141 4988347.864974,1396096.606952 4988331.537353,1396108.859004 4988311.581396,1396133.816864 4988287.543534,1396161.49742 4988266.226941,1396175.981203 4988261.232573,1396215.199578 4988384.447124,1396239.205441 4988371.992972,1396253.692501 4988404.169752,1396302.846778 4988496.120822,1396340.271738 4988552.430231,1396364.819274 4988585.411444,1396390.171629 4988610.750652,1396400.151796 4988624.120122,1396469.93242 4988672.371616);76;X;8;;;;CORSO SICILIA;B;Bidirezionale;LATO EST / LATO OVEST E LATO NORD;703;;272;64ÿP;;;;;;0;;C.SO SICILIA - P.ZZA ZARA - C.SO MONTEROTONDO - P.
LINESTRING (1398068.424051 4992189.286123,1398139.170236 4992192.103238,1398219.31576 4992189.280239,1398285.552221 4992183.082599,1398353.89195 4992172.092761,1398419.000965 4992157.162052,1398484.364405 4992138.980714,1398551.039403 4992115.80539,1398575.022162 4992107.135267,1398638.806123 4992076.534869,1398713.815996 4992029.104194,1398771.986947 4991991.363683,1398796.258176 4991980.560627,1398820.241545 4991979.203787,1398847.392536 4991984.178868,1398880.42618 4992003.1747,1398908.934714 4992032.573009,1398943.778435 4992074.635196,1398982.242311 4992119.411062,1399022.968741 4992166.900644,1399069.757328 4992210.556794,1399084.863714 4992221.069007);75;X;7;;;;LUNGO DORA COLLETTA;B;Bidirezionale;LATO A SUD DI LUNGO DORA COLLETTA;1162;;0;;X;8b-V;;X;;3;;CORSO NOVARA - PONTE WASHINGTON
LINESTRING (1396653.924724 4992863.30308,1396611.994215 4992897.53052,1396541.329904 4992965.932572,1396538.904129 4992968.095142);74;X;7;;;;LUNGO DORA NAPOLI;B;Bidirezionale;MARCIAPIEDE SUD DEL CORSO;156;;0;;X;8a-V;;X;X;3;;DA CORSO GIULIO CESARE A PONTE CARPANINI
LINESTRING (1396881.043133 4992106.452268,1397087.493888 4992235.746159);73;;7;;;;CORSO REGIO PARCO;;;MARCIAPIEDE NORD DEL CORSO;244;;3959;487 P;;30-V;;;;3;;DA CORSO REGINA MARGHERITA A LARGO REGIO PARCO
LINESTRING (1399171.129774 4991948.529166,1399184.44394 4991968.219387,1399180.560626 4991987.632276,1399160.707079 4992001.171862,1399153.130724 4991999.361927,1399139.786072 4991978.75783,1399144.501478 4991962.395535,1399171.129774 4991948.529166);72;;7;;;;CORSO BELGIO;M;Monodirezionale;TUTTO INTORNO ALLE BANCHINE CENTRALI;147;X;518;64 P;;;;;;2;;INTERSEZIONE CON CORSO BRIANZA
LINESTRING (1399219.989732 4991737.312838,1399171.523935 4991945.542297);136;X;7;;;;CORSO BRIANZA;B;Bidirezionale;BANCHINA CENTRALE;214;;517;63 P;;8c-V;;;;3;;DA CORSO BELGIO A PIAZZA CHIAVES
LINESTRING (1395809.094229 4991347.893912,1395731.178597 4991196.043094,1395717.967277 4991202.434328,1395696.658653 4991163.44783);4;;1;;20661130000000;;CORSO RE UMBERTO;M;Monodirezionale;BANCHINA OVEST DEL CORSO DIREZIONE NORD VERSO SUD;230;X;3644;484 P;;36-V;;;;2;;DA PROLUNGAMENTO VIA GANDOLFO-ARCDA PROLUNGAMENTO VIA GANDOLFO / ARCIVESCOVADO A CORSO MATTEOTTI
LINESTRING (1399119.01488 4992181.637677,1399162.470256 4992209.043531,1399243.070201 4992253.525664,1399321.217092 4992285.048412,1399433.554731 4992321.565319,1399450.725999 4992326.819093,1399489.27385 4992336.976438,1399603.165086 4992364.29616,1399690.739973 4992384.98786,1399807.084263 4992223.521228,1399849.742523 4992133.569874);70;X;7;;;;LUNGO PO ANTONELLI / LUNGO DORA VOGHERA;B;Bidirezionale;LATO EST E NORD DEILLE VIE;909;;2445;309 P;;;;;;3;;PONTE DI SASSI / PONTE WASHINGTON
LINESTRING (1399101.603697 4992227.677799,1399119.75815 4992178.793268);69;;7;;;;PONTE WASHINGTON;M;Monodirezionale;MARCIAPIEDE EST DEL PONTE;52;X;520;66 P;;;;;;2;;DA LUNGO DORA VOGHERA A LUNGO DORA COLLETTA
LINESTRING (1399084.863714 4992221.069007,1399104.593858 4992172.602642);124;;7;;;;PONTE WASHINGTON;M;Monodirezionale;MARCIAPIEDE OVEST DEL PONTE;52;X;520;66 P;;;;;;2;;DA LUNGO DORA COLLETTA A LUNGO DORA VOGHERA
LINESTRING (1397087.493888 4992235.746159,1397064.195128 4992276.896996,1397056.035035 4992279.336057,1396854.392685 4992652.980845,1396807.029102 4992727.916179,1396699.767633 4992843.041702,1396678.05015 4992850.834421);68;X;7;;20061130000000;;LUNGO DORA FIRENZE;B;Bidirezionale;MARCIAPIEDE OVEST LUNGO DORA FIRENZE;749;;3581;472 P;;;;;;3;;DA CORSO GIULIO CESARE A CORSO REGIO PARCO
LINESTRING (1397087.493888 4992235.746159,1397134.154157 4992165.735634,1397131.173592 4992155.30903,1397189.294779 4992072.789972,1397199.726758 4992073.087883,1397226.321357 4992052.419892,1397251.656216 4992036.631066);67;;7;;;;LUNGO DORA FIRENZE;;;TORINO SUD / OVEST;270;;4089;439 P;;;;;;0;;DA LARGO REGIO PARCO A PONTE ROSSINI
LINESTRING (1396447.993405 4998253.337337,1396521.08712 4998210.895355,1396547.540095 4998203.937672,1396575.385325 4998204.633447,1396663.793911 4998216.461523,1396703.473373 4998225.506533,1396788.401319 4998254.728853);63;X;6;;;;CIRCONVALLAZIONE SUD;B;Bidirezionale;MARCIAPIEDE SUD DELLA VIA;359;;2125;282 P;;;;;;3;;DA STRADA DEL FRANCESE A STRADA COMUNALE VILLARETT
LINESTRING (1397842.748624 4995197.635089,1397842.223112 4995190.281108,1397839.201115 4995175.310501,1397794.17321 4995116.071415);62;X;6;;;;PIAZZA DERNA;B;Bidirezionale;LATO EST DELLA PIAZZA;97;;1377;173 P;;;;;;3;;PIAZZA DERNA
LINESTRING (1398935.453611 4994249.563449,1398943.93322 4994260.961838,1398952.70522 4994271.775718,1398967.032842 4994261.254126,1399021.496403 4994317.526741,1399074.823378 4994261.104949);61;X;6;;;;PIAZZA SOFIA;B;Bidirezionale;BANCHINA OVEST E ATTRAVERSAMENTO PIAZZA;202;;4698;522 P;;;;;;0;;PIAZZA SOFIA
LINESTRING (1397438.932429 4995259.884542,1397638.521097 4995192.537272,1397724.552147 4995155.878231,1397747.117688 4995122.744141,1397768.204637 4995110.839687,1397793.524213 4995114.845265);60;X;6;;;;VIA BOTTICELLI;B;Bidirezionale;LATO SUD DELLA VIA;394;;4608;510 P;;2-V;;;;3;;DA P.ZZA REBAUDENGO A P.ZZA DERNA
LINESTRING (1397324.039915 4995284.516892,1397123.106531 4995301.082088,1397086.901772 4995286.523761,1397014.467472 4995194.658241);58;X;6;;;;CORSO GROSSETO;B;Bidirezionale;LATO SUD DEL CORSO;368;;4606;508 P;X;2-V;;;;3;;PIAZZA REBAUDENGO - GROSSETO - BOCCHERINI
LINESTRING (1392671.745289 4985067.202408,1392649.072664 4984960.553525,1392614.453641 4984968.149121,1392608.543093 4984950.00406,1392600.943784 4984947.050226,1392509.330115 4984969.41506,1392502.152997 4984968.993069,1392502.575187 4984962.663411,1392529.172711 4984956.333753,1392528.750521 4984950.848042,1392489.90971 4984949.160112,1392453.179793 4984907.384314);91;X;10;;;;STRADA CASTELLO DI MIRAFIORI;B;Bidirezionale;PERCORSO NELL'AREA DEL MAUSOLEO DELLA BELA ROSIN;407;;3741;494 P;;;;;;3;;DA STRADA DELLE CACCIE A CONFINE COMUNE DI NICHELI
LINESTRING (1401585.03043 4994688.137914,1401596.450435 4994678.625862,1401617.006511 4994672.918625,1401644.033893 4994676.342946,1401782.596894 4994707.542543);64;X;6;;;;VIA MONTE TABOR;B;Bidirezionale;LATO SUD DELLA VIA;205;;2633;333 P;;5-V;;X;;3;;LUNGO LA VIA
LINESTRING (1395468.103051 4991308.769211,1395742.469586 4991841.875442);18;;1;;;;CORSO GALLILEO FERRARIS;M;Monodirezionale;TORINO CENTRO;600;X;1741;371;X;;;X;X;2;;DA VIA CERNAIA A CORSO MATTEOTTI
LINESTRING (1394265.993789 4987623.084508,1394384.767978 4987907.75372,1394419.012842 4987986.077442,1394555.608309 4988246.616227);170;X;9;;;;VIA GIORDANO BRUNO;B;Bidirezionale;MARCIAPIEDE LATO EST;688;;0;;;;;;;3;;DA CORSO SEBASTOPOLI A VIA MADONNA DELLE ROSE
LINESTRING (1391801.566257 4995791.011546,1391781.926527 4995799.470023,1391767.719461 4995810.027768,1391749.107208 4995829.35481,1391292.072514 4995849.411353,1391287.634561 4995858.885779,1391284.937951 4995865.176735,1391280.443574 4995867.27372,1391150.57439 4995858.440489,1391144.455989 4995913.496167);113;X;5;;;;STRADA DELLE VALLETTE;B;Bidirezionale;TUTTA LA CARREGGIATA DELLA STRADINA DI CAMPAGNA;731;;0;;;;;X;;4;;DA VIA DELLE PRIMULE A CONFINE TORINO
LINESTRING (1396177.997862 4993230.700862,1396316.692647 4993092.751812,1396359.232859 4993060.246152,1396447.650866 4992983.708333,1396504.41109 4992929.750648,1396515.228222 4992899.483346);109;X;7;;;;LUNGO DORA AGRIGENTO;B;Bidirezionale;LATO SUD/OVEST DELLLA SPONDA DORA;477;;0;;;;;X;;3;;DA BORGO DORA A VIA CIGNA
LINESTRING (1397286.06387 4991285.777244,1397477.415089 4991180.078305,1397488.516244 4991176.634794);129;;1;;;;VIA VERDI;M;Monodirezionale;LATO SUD DEL TRATTO DI VIA;230;X;0;;;;;;;2;;DA ROERO DI CORTANZE A CORSO SAN MAURIZIO
