"","id_stazione","nome","observations","station_operation_days","avg_min_interval","sd_min_interval","max_min_interval","avg_available","avg_spaces","avg_total"
"1","00f2c0f0fac1e5e723bc87d0fd6b90f3","Vittorio Emanuele II 1",684,99.2129861111111,179.982383040936,4.28949361590045,198.866666666667,1.67982456140351,17.9722222222222,19.6520467836257
"2","01ac11c4de440dd1b6ebe47534c269e5","Regina Margherita 1",1688,224.3825,179.976698262243,1.88010599085251,198.5,7.37914691943128,4.41765402843602,11.7968009478673
"3","022da4126aa36e2f187a75fc0581eca0","Padova",1688,224.3825,179.976718009479,1.87880506194107,198.5,9.91232227488152,4.92298578199052,14.835308056872
"4","025640125a5a3b6846b558c78e65dcda","Valdocco",1686,224.3825,179.977787663108,1.88273816268798,198.5,5.92052194543298,7.97568208778173,13.8962040332147
"5","033bf4115ad956b7af02f5f99f21c1d7","Galileo Ferraris 5",1683,224.3825,179.976123984948,1.87820097558469,198.483333333333,2.94830659536542,10.8674985145573,13.8158051099228
"6","03bc5daeb184427e46b2f9a75c26175f","Vittorio Veneto 2",684,99.2137037037037,180.012938596491,4.15144397255093,195.966666666667,5.8859649122807,7.4327485380117,13.3187134502924
"7","0445f90ecfe8259f2d8763fa03c73c14","Valentino 2",681,99.2141203703704,179.973861967695,3.90823576715096,196.716666666667,4.47136563876652,7.76651982378855,12.2378854625551
"8","059b848bf0487496d890cb92930f7e61","Montevideo",684,99.2143402777778,179.955238791423,4.1622097890963,197.116666666667,11.3347953216374,14.2178362573099,25.5526315789474
"9","05bada8db0039c68d352ad6871e5ef50","XI Febbraio",684,99.2130092592593,180.005238791423,4.32361890332361,198.9,6.8406432748538,6.3172514619883,13.1578947368421
"10","0904053b19a69a368ca1b25448ac6aa6","Vittorio Emanuele II 6",682,99.2129513888889,179.982966764418,4.28143470027397,198.866666666667,1.84604105571847,10.0513196480938,11.8973607038123
"11","098a85a8a39b9fe8acc62aff20f3e894","Ventimiglia",1684,224.3825,179.979859461599,1.88006431190652,198.483333333333,8.85926365795724,5.73396674584323,14.5932304038005
"12","0a6330c43c20c909001685ddf37ca48e","Giolitti 2",1686,224.3825,179.977649268486,1.88346541118248,198.483333333333,5.93772241992883,5.87010676156584,11.8078291814947
"13","0a8605833d7a3d6ebf5895cde756b047","Dora Firenze",1688,224.3825,179.978672985782,1.8795005272492,198.5,9.89336492890995,3.5468009478673,13.4401658767773
"14","0c7ddac244be98e27b3249521685e480","Corso Garibaldi",2373,323.847025462963,179.977770754319,2.84877927143254,198.5,2.38685208596713,7.19890434049726,9.58575642646439
"15","0df8838da4cf2ffe0eaf28629b902dd7","Municipio",2373,323.847094907407,179.976752352859,2.83616606519647,198.483333333333,2.8386009270965,2.97935103244838,5.81795195954488
"16","0e2318bc0b4a9ba37e83407dbdab15e6","Paleocapa",1685,224.3825,179.974421364985,1.88041446691882,198.5,5.5946587537092,8.61424332344214,14.2089020771513
"17","11c6ccc569e1b91fe1e9d238f97f4a32","Paravia",681,99.2128240740741,179.969701419481,4.4317110321135,198.766666666667,4.1791483113069,9.20558002936858,13.3847283406755
"18","12cfe32e7bb1c6f0d1b3d84ee82d39c8","Arcivescovado",682,99.2133333333333,180.00826001955,4.25741272327045,196.483333333333,2.61876832844575,10.1612903225806,12.7800586510264
"19","13e6512cfbf9d0437198b6dcd9025752","San Maurizio",684,99.2135185185185,179.99298245614,4.12293639252958,195.766666666667,10.8143274853801,13.7105263157895,24.5248538011696
"20","140c9dad0e1a4b3b2a953c532fc33051","Mauriziano 2",683,99.2140856481481,179.976866764275,3.93913286786744,196.633333333333,6.33674963396779,8.3909224011713,14.7276720351391
"21","149739218fc435b5b26799ea76b69b37","Giambone",1689,224.3825,179.979524373396,1.88112584459633,198.483333333333,7.77915926583777,7.61515689757253,15.3943161634103
"22","14ec1cf2e6948f5188cb254735cbd5a2","Politecnico 4",1687,224.3825,179.975133372851,1.87879880287147,198.483333333333,3.37048014226437,10.5773562537048,13.9478363959692
"23","156382e82518f8d4213e0a5c6ced57a7","Umbria",1689,224.3825,179.979850009868,1.87927313773158,198.483333333333,4.50384843102427,3.30017761989343,7.8040260509177
"24","15af4cdd63c01ecaf5851e36c8faf608","Bologna",683,99.2128472222222,179.974499755979,4.42064779971979,198.816666666667,8.12737920937042,3.81551976573938,11.9428989751098
"25","163be8fb0f20f48da88c5200c1d141b5","Ferrucci",679,99.2141319444444,179.978276877761,3.91283110495501,196.733333333333,5.77172312223859,8.14432989690722,13.9160530191458
"26","1825490441115feb4023cddf31adea7b","Consolata",1683,224.3825,179.978599722717,1.8828066110419,198.5,4.24064171122995,9.57159833630422,13.8122400475342
"27","187826d93c3e51c4ddf0bba53c82dd72","Nizza 3",1687,224.3825,179.979727326615,1.88035076453893,198.483333333333,6.71428571428571,3.82750444576171,10.5417901600474
"28","1916e772eb3e6c88b37a0f584da1e333","Regina Margherita 3",683,99.2140277777778,179.977696437286,4.0102463702463,196.533333333333,8.39238653001464,5.84626647144949,14.2386530014641
"29","19b8fecf43949e7983464715a42843b8","Vittorio Veneto 2",1692,224.3825,179.977324665091,1.88214888042865,198.483333333333,7.39479905437352,5.96808510638298,13.3628841607565
"30","1b05f5addeb0b7d521e473768f910fbc","Sebastopoli",1686,224.3825,179.98082245947,1.88188563066878,198.483333333333,6.71648873072361,6.98457888493476,13.7010676156584
"31","1cb4aa4fa03f3436e8fffc4c83ec7b89","Tortona",99,13.6217939814815,179.976262626263,2.84760022579889,185.533333333333,0,0,0
