"Anno","Provincia","Comune","Grado Scolastico","Conta","Num. Tot Sezioni","Num Tot Maschi","Num Tot Femmine","Totale","Conta","Tot Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr. T","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr.","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr."
"2010-2011","TORINO","CHIVASSO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","36","395","412","807","0","","","",""
"2010-2011","TORINO","CHIVASSO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","10","127","1439","1173","2612"
"2010-2011","TORINO","CIRIE'","1 - Scuola dell'infanzia","6","21","276","271","547","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","CIRIE'","2 - Scuola primaria","0","","","","","4","44","436","497","933","0","","","","","0","","","",""
"2010-2011","TORINO","CIRIE'","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","24","278","288","566","0","","","",""
"2010-2011","TORINO","CIRIE'","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","7","88","879","972","1851"
"2010-2011","TORINO","CLAVIERE","2 - Scuola primaria","0","","","","","1","4","3","4","7","0","","","","","0","","","",""
"2010-2011","TORINO","COASSOLO TORINESE","1 - Scuola dell'infanzia","1","2","22","19","41","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","COASSOLO TORINESE","2 - Scuola primaria","0","","","","","2","10","39","46","85","0","","","","","0","","","",""
"2010-2011","TORINO","COAZZE","1 - Scuola dell'infanzia","2","5","66","34","100","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","COAZZE","2 - Scuola primaria","0","","","","","1","8","72","65","137","0","","","","","0","","","",""
"2010-2011","TORINO","COAZZE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","56","68","124","0","","","",""
"2010-2011","TORINO","COLLEGNO","1 - Scuola dell'infanzia","15","50","657","611","1268","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","COLLEGNO","2 - Scuola primaria","0","","","","","10","96","993","1034","2027","0","","","","","0","","","",""
"2010-2011","TORINO","COLLEGNO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","50","550","582","1132","0","","","",""
"2010-2011","TORINO","COLLEGNO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","4","23","379","133","512"
"2010-2011","TORINO","COLLERETTO CASTELNUOVO","1 - Scuola dell'infanzia","1","2","30","24","54","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","COLLERETTO CASTELNUOVO","2 - Scuola primaria","0","","","","","1","5","28","44","72","0","","","","","0","","","",""
"2010-2011","TORINO","CONDOVE","1 - Scuola dell'infanzia","2","5","62","69","131","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","CONDOVE","2 - Scuola primaria","0","","","","","1","11","130","106","236","0","","","","","0","","","",""
"2010-2011","TORINO","CONDOVE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","10","97","129","226","0","","","",""
"2010-2011","TORINO","CORIO","1 - Scuola dell'infanzia","2","3","48","30","78","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","CORIO","2 - Scuola primaria","0","","","","","2","10","59","75","134","0","","","","","0","","","",""
"2010-2011","TORINO","CORIO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","4","35","38","73","0","","","",""
"2010-2011","TORINO","COSSANO CANAVESE","1 - Scuola dell'infanzia","1","1","10","12","22","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","COSSANO CANAVESE","2 - Scuola primaria","0","","","","","1","5","12","21","33","0","","","","","0","","","",""
"2010-2011","TORINO","CUCEGLIO","2 - Scuola primaria","0","","","","","1","5","26","23","49","0","","","","","0","","","",""
"2010-2011","TORINO","CUMIANA","1 - Scuola dell'infanzia","2","9","117","111","228","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","CUMIANA","2 - Scuola primaria","0","","","","","2","19","176","196","372","0","","","","","0","","","",""
"2010-2011","TORINO","CUMIANA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","17","190","224","414","0","","","",""
"2010-2011","TORINO","CUMIANA","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","1","5","34","48","82"
"2010-2011","TORINO","CUORGNE'","1 - Scuola dell'infanzia","4","11","122","127","249","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","CUORGNE'","2 - Scuola primaria","0","","","","","4","27","231","269","500","0","","","","","0","","","",""
"2010-2011","TORINO","CUORGNE'","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","14","141","165","306","0","","","",""
"2010-2011","TORINO","CUORGNE'","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","4","29","329","261","590"
"2010-2011","TORINO","DRUENTO","1 - Scuola dell'infanzia","2","10","136","110","261","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","DRUENTO","2 - Scuola primaria","0","","","","","2","18","186","189","375","0","","","","","0","","","",""
"2010-2011","TORINO","DRUENTO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","16","178","173","351","0","","","",""
"2010-2011","TORINO","FAVRIA","1 - Scuola dell'infanzia","1","4","58","51","109","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FAVRIA","2 - Scuola primaria","0","","","","","1","10","94","113","207","0","","","","","0","","","",""
"2010-2011","TORINO","FAVRIA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","10","121","116","237","0","","","",""
"2010-2011","TORINO","FELETTO","1 - Scuola dell'infanzia","1","2","27","22","49","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FELETTO","2 - Scuola primaria","0","","","","","1","5","47","52","99","0","","","","","0","","","",""
"2010-2011","TORINO","FENESTRELLE","1 - Scuola dell'infanzia","1","1","5","11","16","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FENESTRELLE","2 - Scuola primaria","0","","","","","1","5","10","10","20","0","","","","","0","","","",""
"2010-2011","TORINO","FENESTRELLE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","30","20","50","0","","","",""
"2010-2011","TORINO","FIANO","1 - Scuola dell'infanzia","1","3","44","30","74","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FIANO","2 - Scuola primaria","0","","","","","1","10","70","96","166","0","","","","","0","","","",""
"2010-2011","TORINO","FIANO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","7","72","91","163","0","","","",""
"2010-2011","TORINO","FIORANO CANAVESE","1 - Scuola dell'infanzia","1","1","12","9","21","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FOGLIZZO","1 - Scuola dell'infanzia","1","2","27","27","54","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FOGLIZZO","2 - Scuola primaria","0","","","","","1","6","50","55","105","0","","","","","0","","","",""
"2010-2011","TORINO","FOGLIZZO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","26","29","55","0","","","",""
"2010-2011","TORINO","FORNO CANAVESE","1 - Scuola dell'infanzia","2","4","54","38","92","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FORNO CANAVESE","2 - Scuola primaria","0","","","","","1","10","76","88","164","0","","","","","0","","","",""
"2010-2011","TORINO","FORNO CANAVESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","9","95","87","182","0","","","",""
"2010-2011","TORINO","FRASSINETTO","2 - Scuola primaria","0","","","","","1","4","4","8","12","0","","","","","0","","","",""
"2010-2011","TORINO","FRONT","1 - Scuola dell'infanzia","2","2","27","18","45","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FRONT","2 - Scuola primaria","0","","","","","1","5","42","43","85","0","","","","","0","","","",""
"2010-2011","TORINO","FROSSASCO","1 - Scuola dell'infanzia","1","3","41","41","82","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","FROSSASCO","2 - Scuola primaria","0","","","","","1","6","48","72","120","0","","","","","0","","","",""
"2010-2011","TORINO","FROSSASCO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","9","90","94","184","0","","","",""
"2010-2011","TORINO","GARZIGLIANA","1 - Scuola dell'infanzia","1","1","8","11","19","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GARZIGLIANA","2 - Scuola primaria","0","","","","","1","5","9","18","27","0","","","","","0","","","",""
"2010-2011","TORINO","GASSINO TORINESE","1 - Scuola dell'infanzia","3","10","141","117","258","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GASSINO TORINESE","2 - Scuola primaria","0","","","","","2","17","178","202","380","0","","","","","0","","","",""
"2010-2011","TORINO","GASSINO TORINESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","13","167","148","315","0","","","",""
"2010-2011","TORINO","GERMAGNANO","1 - Scuola dell'infanzia","1","2","21","23","44","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GERMAGNANO","2 - Scuola primaria","0","","","","","1","5","24","44","68","0","","","","","0","","","",""
"2010-2011","TORINO","GIAGLIONE","1 - Scuola dell'infanzia","1","1","4","8","12","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GIAGLIONE","2 - Scuola primaria","0","","","","","1","5","16","16","32","0","","","","","0","","","",""
"2010-2011","TORINO","GIAVENO","1 - Scuola dell'infanzia","7","20","265","250","515","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GIAVENO","2 - Scuola primaria","0","","","","","6","42","410","421","831","0","","","","","0","","","",""
"2010-2011","TORINO","GIAVENO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","24","301","289","590","0","","","",""
"2010-2011","TORINO","GIAVENO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","4","40","500","351","851"
"2010-2011","TORINO","GIVOLETTO","1 - Scuola dell'infanzia","1","3","45","31","76","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GIVOLETTO","2 - Scuola primaria","0","","","","","1","8","73","76","149","0","","","","","0","","","",""
"2010-2011","TORINO","GROSSO","1 - Scuola dell'infanzia","1","2","32","27","59","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GROSSO","2 - Scuola primaria","0","","","","","1","5","44","31","75","0","","","","","0","","","",""
"2010-2011","TORINO","GRUGLIASCO","1 - Scuola dell'infanzia","9","42","493","528","1021","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","GRUGLIASCO","2 - Scuola primaria","0","","","","","9","87","934","943","1877","0","","","","","0","","","",""
"2010-2011","TORINO","GRUGLIASCO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","5","47","486","527","1013","0","","","",""
"2010-2011","TORINO","GRUGLIASCO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","9","114","913","1532","2445"
"2010-2011","TORINO","INVERSO PINASCA","2 - Scuola primaria","0","","","","","1","5","9","10","19","0","","","","","0","","","",""
"2010-2011","TORINO","IVREA","1 - Scuola dell'infanzia","10","25","336","296","632","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","IVREA","2 - Scuola primaria","0","","","","","8","61","546","640","1186","0","","","","","0","","","",""
"2010-2011","TORINO","IVREA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","28","284","341","625","0","","","",""
"2010-2011","TORINO","IVREA","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","15","169","2023","1828","3851"
"2010-2011","TORINO","LA CASSA","1 - Scuola dell'infanzia","1","2","35","13","48","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LA CASSA","2 - Scuola primaria","0","","","","","1","5","42","45","87","0","","","","","0","","","",""
"2010-2011","TORINO","LA LOGGIA","1 - Scuola dell'infanzia","2","10","139","122","261","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LA LOGGIA","2 - Scuola primaria","0","","","","","1","16","187","193","380","0","","","","","0","","","",""
"2010-2011","TORINO","LA LOGGIA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","11","100","120","220","0","","","",""
"2010-2011","TORINO","LANZO TORINESE","1 - Scuola dell'infanzia","1","5","55","65","120","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LANZO TORINESE","2 - Scuola primaria","0","","","","","1","11","102","120","222","0","","","","","0","","","",""
"2010-2011","TORINO","LANZO TORINESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","13","117","150","267","0","","","",""
"2010-2011","TORINO","LANZO TORINESE","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","5","46","653","336","989"
"2010-2011","TORINO","LAURIANO","1 - Scuola dell'infanzia","1","2","19","30","49","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LAURIANO","2 - Scuola primaria","0","","","","","1","5","32","29","61","0","","","","","0","","","",""
"2010-2011","TORINO","LEINI","1 - Scuola dell'infanzia","5","17","236","199","435","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LEINI","2 - Scuola primaria","0","","","","","2","33","352","374","726","0","","","","","0","","","",""
"2010-2011","TORINO","LEINI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","15","169","193","362","0","","","",""
"2010-2011","TORINO","LESSOLO","1 - Scuola dell'infanzia","1","1","18","9","27","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LESSOLO","2 - Scuola primaria","0","","","","","1","5","54","43","97","0","","","","","0","","","",""
"2010-2011","TORINO","LESSOLO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","22","23","45","0","","","",""
"2010-2011","TORINO","LEVONE","2 - Scuola primaria","0","","","","","1","4","4","10","14","0","","","","","0","","","",""
"2010-2011","TORINO","LOCANA","1 - Scuola dell'infanzia","1","2","25","19","44","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LOCANA","2 - Scuola primaria","0","","","","","2","8","19","29","48","0","","","","","0","","","",""
"2010-2011","TORINO","LOCANA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","25","19","44","0","","","",""
"2010-2011","TORINO","LOMBARDORE","1 - Scuola dell'infanzia","1","3","33","31","64","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LOMBARDORE","2 - Scuola primaria","0","","","","","1","5","33","33","66","0","","","","","0","","","",""
"2010-2011","TORINO","LOMBRIASCO","1 - Scuola dell'infanzia","1","1","13","13","26","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LOMBRIASCO","2 - Scuola primaria","0","","","","","1","5","21","28","49","0","","","","","0","","","",""
"2010-2011","TORINO","LOMBRIASCO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","64","68","132","0","","","",""
"2010-2011","TORINO","LOMBRIASCO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","3","15","65","230","295"
"2010-2011","TORINO","LORANZE'","1 - Scuola dell'infanzia","1","2","24","26","50","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LORANZE'","2 - Scuola primaria","0","","","","","1","6","46","61","107","0","","","","","0","","","",""
"2010-2011","TORINO","LUGNACCO","1 - Scuola dell'infanzia","1","2","20","20","40","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LUSERNA SAN GIOVANNI","1 - Scuola dell'infanzia","5","8","91","92","183","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LUSERNA SAN GIOVANNI","2 - Scuola primaria","0","","","","","3","15","144","143","287","0","","","","","0","","","",""
"2010-2011","TORINO","LUSERNA SAN GIOVANNI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","11","116","118","234","0","","","",""
"2010-2011","TORINO","LUSERNA SAN GIOVANNI","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","2","4","31","57","88"
"2010-2011","TORINO","LUSERNETTA","1 - Scuola dell'infanzia","1","1","11","11","22","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LUSERNETTA","2 - Scuola primaria","0","","","","","1","5","9","11","20","0","","","","","0","","","",""
"2010-2011","TORINO","LUSIGLIE'","1 - Scuola dell'infanzia","1","1","14","10","24","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","LUSIGLIE'","2 - Scuola primaria","0","","","","","1","5","14","8","22","0","","","","","0","","","",""
"2010-2011","TORINO","MACELLO","1 - Scuola dell'infanzia","1","1","11","10","21","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MACELLO","2 - Scuola primaria","0","","","","","1","5","34","35","69","0","","","","","0","","","",""
"2010-2011","TORINO","MARENTINO","1 - Scuola dell'infanzia","1","2","19","24","43","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MARENTINO","2 - Scuola primaria","0","","","","","1","5","40","40","80","0","","","","","0","","","",""
"2010-2011","TORINO","MATHI","1 - Scuola dell'infanzia","1","4","48","48","96","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MATHI","2 - Scuola primaria","0","","","","","1","9","87","90","177","0","","","","","0","","","",""
"2010-2011","TORINO","MATHI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","67","65","132","0","","","",""
"2010-2011","TORINO","MATTIE","1 - Scuola dell'infanzia","1","1","16","9","25","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MATTIE","2 - Scuola primaria","0","","","","","1","5","13","16","29","0","","","","","0","","","",""
"2010-2011","TORINO","MAZZE'","1 - Scuola dell'infanzia","1","3","41","40","81","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MAZZE'","2 - Scuola primaria","0","","","","","2","10","77","73","150","0","","","","","0","","","",""
"2010-2011","TORINO","MEANA DI SUSA","1 - Scuola dell'infanzia","1","1","11","10","21","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MEANA DI SUSA","2 - Scuola primaria","0","","","","","1","5","13","13","26","0","","","","","0","","","",""
"2010-2011","TORINO","MERCENASCO","1 - Scuola dell'infanzia","1","1","15","13","28","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MERCENASCO","2 - Scuola primaria","0","","","","","1","4","10","17","27","0","","","","","0","","","",""
"2010-2011","TORINO","MEZZENILE","1 - Scuola dell'infanzia","1","2","22","17","39","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MEZZENILE","2 - Scuola primaria","0","","","","","1","5","15","10","25","0","","","","","0","","","",""
"2010-2011","TORINO","MOMPANTERO","1 - Scuola dell'infanzia","1","1","12","11","23","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONCALIERI","1 - Scuola dell'infanzia","19","60","790","730","1520","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONCALIERI","2 - Scuola primaria","0","","","","","17","124","1228","1324","2552","0","","","","","0","","","",""
"2010-2011","TORINO","MONCALIERI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","7","64","704","683","1387","0","","","",""
"2010-2011","TORINO","MONCALIERI","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","7","108","561","1676","2237"
"2010-2011","TORINO","MONTALENGHE","1 - Scuola dell'infanzia","1","1","15","10","25","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONTALENGHE","2 - Scuola primaria","0","","","","","1","3","16","26","42","0","","","","","0","","","",""
"2010-2011","TORINO","MONTALTO DORA","1 - Scuola dell'infanzia","2","4","51","46","97","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONTALTO DORA","2 - Scuola primaria","0","","","","","1","9","85","84","169","0","","","","","0","","","",""
"2010-2011","TORINO","MONTALTO DORA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","5","43","44","87","0","","","",""
"2010-2011","TORINO","MONTANARO","1 - Scuola dell'infanzia","3","7","100","82","182","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONTANARO","2 - Scuola primaria","0","","","","","2","15","117","164","281","0","","","","","0","","","",""
"2010-2011","TORINO","MONTANARO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","8","67","71","138","0","","","",""
"2010-2011","TORINO","MONTEU DA PO","1 - Scuola dell'infanzia","1","1","11","7","18","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MONTEU DA PO","2 - Scuola primaria","0","","","","","1","4","13","11","24","0","","","","","0","","","",""
"2010-2011","TORINO","MORIONDO TORINESE","1 - Scuola dell'infanzia","1","1","14","17","31","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","MORIONDO TORINESE","2 - Scuola primaria","0","","","","","1","5","20","22","42","0","","","","","0","","","",""
"2010-2011","TORINO","NICHELINO","1 - Scuola dell'infanzia","11","54","666","706","1372","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","NICHELINO","2 - Scuola primaria","0","","","","","10","105","1122","1166","2288","0","","","","","0","","","",""
"2010-2011","TORINO","NICHELINO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","4","57","550","683","1233","0","","","",""
"2010-2011","TORINO","NICHELINO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","7","82","653","900","1553"
"2010-2011","TORINO","NOLE","1 - Scuola dell'infanzia","1","6","91","76","167","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","NOLE","2 - Scuola primaria","0","","","","","2","13","127","148","275","0","","","","","0","","","",""
"2010-2011","TORINO","NOLE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","12","95","144","239","0","","","",""
"2010-2011","TORINO","NONE","1 - Scuola dell'infanzia","2","9","110","100","210","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","NONE","2 - Scuola primaria","0","","","","","2","20","191","212","403","0","","","","","0","","","",""
"2010-2011","TORINO","NONE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","12","115","123","238","0","","","",""
"2010-2011","TORINO","NOVALESA","1 - Scuola dell'infanzia","1","1","9","10","19","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","NOVALESA","2 - Scuola primaria","0","","","","","1","4","10","13","23","0","","","","","0","","","",""
"2010-2011","TORINO","OGLIANICO","1 - Scuola dell'infanzia","1","4","51","40","91","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","OGLIANICO","2 - Scuola primaria","0","","","","","1","5","48","37","85","0","","","","","0","","","",""
"2010-2011","TORINO","ORBASSANO","1 - Scuola dell'infanzia","6","23","324","306","630","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","ORBASSANO","2 - Scuola primaria","0","","","","","5","49","512","518","1030","0","","","","","0","","","",""
"2010-2011","TORINO","ORBASSANO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","24","289","260","549","0","","","",""
"2010-2011","TORINO","ORBASSANO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","4","76","622","836","1458"
"2010-2011","TORINO","ORIO CANAVESE","1 - Scuola dell'infanzia","1","1","10","16","23","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","ORIO CANAVESE","2 - Scuola primaria","0","","","","","1","2","13","13","26","0","","","","","0","","","",""
"2010-2011","TORINO","OSASCO","1 - Scuola dell'infanzia","1","1","12","17","29","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","OSASCO","2 - Scuola primaria","0","","","","","1","5","38","25","63","0","","","","","0","","","",""
"2010-2011","TORINO","OSASCO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","1","13","62","214","276"
"2010-2011","TORINO","OSASIO","1 - Scuola dell'infanzia","1","1","12","14","26","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","OSASIO","2 - Scuola primaria","0","","","","","1","5","18","24","42","0","","","","","0","","","",""
"2010-2011","TORINO","OULX","1 - Scuola dell'infanzia","1","3","49","34","83","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","OULX","2 - Scuola primaria","0","","","","","1","6","42","64","106","0","","","","","0","","","",""
"2010-2011","TORINO","OULX","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","8","84","89","173","0","","","",""
"2010-2011","TORINO","OULX","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","6","29","375","240","615"
"2010-2011","TORINO","OZEGNA","1 - Scuola dell'infanzia","1","2","22","28","50","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","OZEGNA","2 - Scuola primaria","0","","","","","1","5","38","39","77","0","","","","","0","","","",""
"2010-2011","TORINO","PALAZZO CANAVESE","1 - Scuola dell'infanzia","1","1","15","10","25","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PANCALIERI","1 - Scuola dell'infanzia","1","2","24","27","51","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PANCALIERI","2 - Scuola primaria","0","","","","","1","6","58","49","107","0","","","","","0","","","",""
"2010-2011","TORINO","PANCALIERI","3 - Scuola secondaria di I grado","0","","","","","0","","","","","3","7","59","89","148","0","","","",""
"2010-2011","TORINO","PARELLA","1 - Scuola dell'infanzia","1","1","18","10","28","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PAVAROLO","1 - Scuola dell'infanzia","1","2","21","28","49","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PAVAROLO","2 - Scuola primaria","0","","","","","1","5","42","35","77","0","","","","","0","","","",""
"2010-2011","TORINO","PAVONE CANAVESE","1 - Scuola dell'infanzia","1","3","43","42","85","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PAVONE CANAVESE","2 - Scuola primaria","0","","","","","1","9","75","80","155","0","","","","","0","","","",""
"2010-2011","TORINO","PAVONE CANAVESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","55","49","104","0","","","",""
"2010-2011","TORINO","PECETTO TORINESE","1 - Scuola dell'infanzia","1","3","48","36","84","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PECETTO TORINESE","2 - Scuola primaria","0","","","","","1","10","107","103","210","0","","","","","0","","","",""
"2010-2011","TORINO","PECETTO TORINESE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","9","100","105","205","0","","","",""
"2010-2011","TORINO","PEROSA ARGENTINA","1 - Scuola dell'infanzia","2","4","64","52","116","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PEROSA ARGENTINA","2 - Scuola primaria","0","","","","","1","8","54","70","124","0","","","","","0","","","",""
"2010-2011","TORINO","PEROSA ARGENTINA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","58","68","126","0","","","",""
"2010-2011","TORINO","PERRERO","2 - Scuola primaria","0","","","","","1","5","4","13","17","0","","","","","0","","","",""
"2010-2011","TORINO","PERRERO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","3","7","10","17","0","","","",""
"2010-2011","TORINO","PERTUSIO","1 - Scuola dell'infanzia","1","1","9","17","26","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PERTUSIO","2 - Scuola primaria","0","","","","","1","5","20","25","45","0","","","","","0","","","",""
"2010-2011","TORINO","PESSINETTO","2 - Scuola primaria","0","","","","","1","5","11","16","27","0","","","","","0","","","",""
"2010-2011","TORINO","PIANEZZA","1 - Scuola dell'infanzia","5","18","243","202","445","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PIANEZZA","2 - Scuola primaria","0","","","","","3","33","353","343","696","0","","","","","0","","","",""
"2010-2011","TORINO","PIANEZZA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","2","22","230","255","485","0","","","",""
"2010-2011","TORINO","PIANEZZA","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","2","39","220","430","650"
"2010-2011","TORINO","PINASCA","1 - Scuola dell'infanzia","2","2","24","26","50","0","","","","","0","","","","","0","","","",""
"2010-2011","TORINO","PINASCA","2 - Scuola primaria","0","","","","","1","6","67","48","115","0","","","","","0","","","",""
