"Anno","Provincia","Comune","Grado Scolastico","Conta","Num. Tot Sezioni","Num Tot Maschi","Num Tot Femmine","Totale","Conta","Tot Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr. T","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr.","Conta","Tot Iscr. Classi","Tot Iscr. F","Tot Iscr. M","Tot Iscr."
"2010-2011","ALESSANDRIA","CARPENETO","1 - Scuola dell'infanzia","1","1","10","18","28","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CARPENETO","2 - Scuola primaria","0","","","","","1","5","27","29","56","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CARROSIO","2 - Scuola primaria","0","","","","","1","5","5","12","17","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CARTOSIO","1 - Scuola dell'infanzia","1","1","11","15","26","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CARTOSIO","2 - Scuola primaria","0","","","","","1","5","21","16","37","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASALE MONFERRATO","1 - Scuola dell'infanzia","9","36","469","426","895","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASALE MONFERRATO","2 - Scuola primaria","0","","","","","9","83","730","762","1492","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASALE MONFERRATO","3 - Scuola secondaria di I grado","0","","","","","0","","","","","4","46","526","513","1039","0","","","",""
"2010-2011","ALESSANDRIA","CASALE MONFERRATO","4 - Scuola secondaria di II grado","0","","","","","0","","","","","0","","","","","11","134","1421","1567","2988"
"2010-2011","ALESSANDRIA","CASALNOCETO","1 - Scuola dell'infanzia","1","1","17","8","25","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASALNOCETO","2 - Scuola primaria","0","","","","","2","16","20","46","66","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASSANO SPINOLA","1 - Scuola dell'infanzia","1","3","31","27","58","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASSANO SPINOLA","2 - Scuola primaria","0","","","","","1","5","40","39","79","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASSANO SPINOLA","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","5","38","41","79","0","","","",""
"2010-2011","ALESSANDRIA","CASSINE","1 - Scuola dell'infanzia","1","3","41","37","78","0","","","","","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASSINE","2 - Scuola primaria","0","","","","","1","8","55","69","124","0","","","","","0","","","",""
"2010-2011","ALESSANDRIA","CASSINE","3 - Scuola secondaria di I grado","0","","","","","0","","","","","1","6","46","55","101","0","","","",""
"2010-2011","ALESSANDRIA","CASSINELLE","1 - Scuola dell'infanzia","1","1","15","10","25","0","","","","","0","","","","","0","","","",""
