"Anno";"Provincia";"CodiceIstatComune";"Comune";"DenominazioneEsercizio";"Indirizzo";"Tipologia";"SettoreMerceologico";"SuperficieDiVenditaMq";"InseritoInCC";"NuovaApertura";"Cessazione";"AmpliamentoRiduzione";"Volturazione";""
"2014";"Torino";"1099";"DRUENTO";"EMME A  SNC DI AVALLONE MICHELE E C.";"Via Roma 29";"M";"Misto";"232";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1115";"GIAVENO";"ARG SRL";"PIAZZA MARITANO 12/1,2,3,4,5";"M";"Misto";"356";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1119";"GROSSO";"FRANCONE GIUSEPPE SNC";"VIA I MAGGIO 24";"M";"Non alimentare";"450";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1122";"INVERSO PINASCA";"BARBABUC";"VIA PROVINCIALE 2";"M";"Non alimentare";"256";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1125";"IVREA";"NUOVA AUTO ALPINA SRL";"C.SO VERCELLI 332/B";"M";"Non alimentare";"400";"NO";"0";"0";"0";"1";""
"2014";"Torino";"1125";"IVREA";"LIDL ITALIA SRL";"VIA S. ULDERICO 2";"M";"Misto";"750";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1127";"LA LOGGIA";"IN'S MERCATO SPA";"VIA DELLA CHIESA 1";"M";"Misto";"739";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1130";"LEINI'";"F.M. TRADING S.R.L.";"VIA TORINO 71/73";"M";"Misto";"898";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1139";"LUSERNA SAN GIOVANNI";"BASKO SPA";"Via 1 maggio 215";"M";"Misto";"1440";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1146";"MATHI";"IN'S MERCATO";"VIA CIRCONVALLAZIONE 64";"M";"Misto";"399";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1150";"MERCENASCO";"FERLUX  di Vesco Giuseppe & C. SNC";"Via Palude 2";"M";"Non alimentare";"710";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"AUTOMECK s.r.l.";"corso Trieste 128";"M";"Non alimentare";"350";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"Facit mercato della Confezione s.p.a.";"via Vittime di Bologna 19/21";"M";"Non alimentare";"1649";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1156";"MONCALIERI";"DIMAR SPA";"via Peschiera 17";"M";"Misto";"1980";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1160";"MONTALTO DORA";"S.A.R.C. SAS DI ARNINI SIMONA E C.";"VIA AOSTA 3";"M";"Misto";"310";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"GRANATO MOBILI SRL";"Via Martiri 24";"M";"Non alimentare";"1300";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1164";"NICHELINO";"SERRA s.a.s DEI F.LLI SURIANO e MAIN";"VIA TORINO 111";"M";"Non alimentare";"900";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1173";"OSASCO";"FG RETAIL OSASCO";"VIA PINEROLO (LOTTO A) SN";"M";"Alimentare";"1000";"SI";"1";"0";"0";"0";""
"2014";"Torino";"1189";"PIANEZZA";"MOBIL PI  DI PRETI E PREGNOLATO e C. S.N.C.";"VIA COLLEGNO 29";"M";"Non alimentare";"732";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"LIDL";"CORSO G. FERRARIS 66";"M";"Misto";"1356";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1082";"CHIVASSO";"IN'S MERCATO SPA";"VIA BARAGGINO 35";"M";"Misto";"571";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1086";"CIRIE'";"NOVAUTO SNC DI CAVEGLIA BEATRIS EZIO E GIACOLETTO PAOLO";"VIA TORINO 60";"M";"Non alimentare";"382";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1086";"CIRIE'";"ELETTROGRUPPO ZEROUNO S.P.A";"VIA REMMERT 77";"M";"Non alimentare";"293";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1090";"COLLEGNO";"LE ROY MERLIN SPA";"area piano insediamenti produttivi (pip)";"G";"Non alimentare";"5997";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1097";"CUMIANA";"MIRAFIORI SPORT DEI F.LLI SALA S.N.C.";"STRADA TORINO 58";"M";"Non alimentare";"185";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1098";"CUORGNE'";"LABORATORIO ORTOPEDICO MAZZOCCHI SRL";"VIA TORINO 4";"M";"Non alimentare";"300";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1098";"CUORGNE'";"LIDL ITALIA SRL";"VIA TORINO 16";"M";"Misto";"961";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1099";"DRUENTO";"FRATELLI VOTTERO SNC DI VOTTERO PANCRAZIO E C.";"Via Torino 53";"M";"Non alimentare";"1000";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1110";"FROSSASCO";"IPEFRESCOBASKO FROSSASCO";"VIA PISCINA 0/1";"M";"Misto";"1164";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1120";"GRUGLIASCO";"GARDEN PLANET SRL";"C.SO ALLAMANO 57";"M";"Misto";"573";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1120";"GRUGLIASCO";"MAXI DI SRL";"STRADA DEL BAROCCHIO 81";"M";"Misto";"901";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1127";"LA LOGGIA";"RIALTO SRL";"STRADA NIZZA 30";"G";"Misto";"2850";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1127";"LA LOGGIA";"JIN FA SRL";"STR. CARIGNANO ANGOLO VIA CAMPASSI 54/6";"M";"Non alimentare";"1462";"SI";"0";"0";"0";"0";""
"2014";"Torino";"1130";"LEINI'";"GABUTTI VEICOLI INDUSTRIALI SAS DI GIOVE F. e C.";"VIA TORINO 238";"M";"Non alimentare";"360";"NO";"0";"0";"0";"0";""
"2014";"Torino";"1130";"LEINI'";"SPESA INTELLIGENTE SPA";"Piazza I Maggio";"M";"Misto";"550";"SI";"0";"0";"0";"0";""
