"ZONA_STATI" "WKT" "DENOMINAZI" "NMASCHI" "NFEMMINE" "TOTALE" "ANNO" "COORD_X" "COORD_Y" "Totale stranieri" "perc_starnieri"
"1" "01" "MULTIPOLYGON (((7.675386826675254 45.072075285116242,7.674845422663345 45.071287522944182,7.676047083952581 45.07085982767633,7.677003762152681 45.07052062866601,7.677920632863659 45.070195678305154,7.678829631055909 45.069872276754396,7.67965464601738 45.069577809114364,7.680576367506185 45.069248806726129,7.681788615658257 45.068816094502182,7.682301617505799 45.069730788548398,7.682694792360929 45.070357610149223,7.682912885975525 45.07067419227954,7.683153279839501 45.071041937332595,7.684002050475129 45.070763321211096,7.684204737159866 45.070747033163698,7.684653326228639 45.070591084062727,7.685062425442868 45.071214982532432,7.685421335894417 45.071763913736724,7.684999726336205 45.07189304024751,7.6839264141444 45.072221761957259,7.684195268893084 45.072565680515766,7.684606351460612 45.073186122339344,7.68465989960923 45.073280166497703,7.6849834038718 45.073848252401547,7.685018017068511 45.07390163478329,7.685276337084461 45.074299971199395,7.685524071843303 45.074675257939901,7.686155176277435 45.075631258184664,7.686372141919675 45.075808117696411,7.685577269264882 45.076072023109553,7.684856493268184 45.076310086759669,7.68486731353295 45.076333015264659,7.68362293223419 45.076746123812448,7.683631392571099 45.076762758279536,7.682395724864856 45.077174487529874,7.68082242457128 45.077646798129514,7.679532395909575 45.078073818133042,7.678842935216014 45.077077659336503,7.678513885273485 45.076607053699092,7.67822938593816 45.076193592222921,7.677809085799018 45.075594868865572,7.677588029628355 45.075273875328477,7.677384600548638 45.074978477400869,7.677177907721731 45.074678382027443,7.676805234438128 45.074137304112163,7.676599697631389 45.073839559675633,7.676566824281103 45.073791936158251,7.676345759122153 45.073470328802834,7.676320954786135 45.073434241660109,7.675836379575927 45.072729301300491,7.675386826675254 45.072075285116242)))" "MUNICIPIO" NA NA 9777 2014 1396170.5 4991979 1716 0.175513961337834
"2" "02" "MULTIPOLYGON (((7.684195268893084 45.072565680515766,7.6839264141444 45.072221761957259,7.684999726336205 45.07189304024751,7.685421335894417 45.071763913736724,7.685062425442868 45.071214982532432,7.684653326228639 45.070591084062727,7.685844678334255 45.070178639754047,7.686410638381781 45.069982705543353,7.686718005799024 45.070425565570865,7.686810790258995 45.070559254207751,7.687113278996669 45.070447271072027,7.687139321568233 45.070438910088612,7.687231779304647 45.07040380652775,7.687260590518013 45.070383713100995,7.688553482876788 45.069892452760143,7.688902908708168 45.069758095775981,7.689602517215047 45.069489065918567,7.689681002928856 45.069458885017383,7.690836745091311 45.069008935300246,7.691178211031708 45.069493694532127,7.691519104222582 45.069977471259868,7.691879642538583 45.070489125104395,7.692106347905824 45.070810839165723,7.692697702651036 45.071650003064676,7.691699085287382 45.072648943540351,7.691359943814895 45.072981808749262,7.69094486673494 45.073386454467254,7.690345301066454 45.073970929798776,7.689852546740148 45.074519073854674,7.689777606040644 45.074602444828663,7.68973936076282 45.074644986910307,7.689677428099293 45.074713885750548,7.68794709108645 45.075286644564528,7.687012948681337 45.075595911802381,7.686372141919675 45.075808117696411,7.686155176277435 45.075631258184664,7.685524071843303 45.074675257939901,7.685276337084461 45.074299971199395,7.685018017068511 45.07390163478329,7.6849834038718 45.073848252401547,7.68465989960923 45.073280166497703,7.684606351460612 45.073186122339344,7.684195268893084 45.072565680515766)))" "PALAZZO REALE" NA NA 125 2014 1396747.625 4991850.5 3 0.024
"3" "03" "MULTIPOLYGON (((7.682301617505799 45.069730788548398,7.681788615658257 45.068816094502182,7.683056883381104 45.068359343911283,7.684236090677293 45.067951607320623,7.685532739310302 45.067493572874746,7.684619318409389 45.066184429071946,7.683783286245529 45.064990030122928,7.683640503655292 45.064782642827637,7.683151692049313 45.064072616624927,7.68319826037891 45.064055321512249,7.683443045061684 45.063974213362883,7.684269977876298 45.063688825870898,7.685401929525512 45.063281162382239,7.686536246859008 45.062878198423192,7.687981497409271 45.062364514771801,7.688611501177537 45.063236372049545,7.689031311051938 45.063083358751037,7.688923405381037 45.062877465013116,7.688951633439641 45.062855628917148,7.688956302393254 45.062850857648307,7.68922974953885 45.062616587948561,7.689508011020513 45.062518351925405,7.689984998425002 45.062480159516412,7.690130400886696 45.062683769415194,7.690291943856382 45.062899351071749,7.690731855458459 45.063489827302284,7.690976542850883 45.063868551577016,7.690657764415681 45.063999958446786,7.689469784552694 45.064424086257453,7.690114033388014 45.065306024599742,7.690433500202007 45.06574499185966,7.690751004996436 45.066178753439054,7.690955436784706 45.066458022914411,7.691562032634463 45.067284723453561,7.692371078364964 45.06838977273565,7.691835380213821 45.068599486789864,7.690836745091311 45.069008935300246,7.689681002928856 45.069458885017383,7.689602517215047 45.069489065918567,7.688902908708168 45.069758095775981,7.688553482876788 45.069892452760143,7.687260590518013 45.070383713100995,7.687231779304647 45.07040380652775,7.687139321568233 45.070438910088612,7.687113278996669 45.070447271072027,7.686810790258995 45.070559254207751,7.686718005799024 45.070425565570865,7.686410638381781 45.069982705543353,7.685844678334255 45.070178639754047,7.684653326228639 45.070591084062727,7.684204737159866 45.070747033163698,7.684002050475129 45.070763321211096,7.683153279839501 45.071041937332595,7.682912885975525 45.07067419227954,7.682694792360929 45.070357610149223,7.682301617505799 45.069730788548398)))" "PALAZZO CARIGNANO" NA NA 4184 2014 1396671 4991202 305 0.0728967495219885
"4" "04" "MULTIPOLYGON (((7.674718601792915 45.065499519414082,7.674004586510145 45.064494042583355,7.675098275439791 45.064101379305079,7.675778696826153 45.063856714648807,7.676463508139632 45.063610467523091,7.677205499915738 45.063343643954013,7.677736723396938 45.063152382843498,7.67853035742535 45.062867065272471,7.679414081045776 45.062549397211569,7.680132390016112 45.062291075225481,7.680755150195542 45.062067093095557,7.681552660282424 45.061780259068925,7.682678247907967 45.06340513638456,7.682981543767557 45.063831847909121,7.683087342228984 45.063980811743754,7.683151692049313 45.064072616624927,7.683640503655292 45.064782642827637,7.683783286245529 45.064990030122928,7.684619318409389 45.066184429071946,7.685532739310302 45.067493572874746,7.684236090677293 45.067951607320623,7.683056883381104 45.068359343911283,7.681788615658257 45.068816094502182,7.680576367506185 45.069248806726129,7.67965464601738 45.069577809114364,7.678829631055909 45.069872276754396,7.677920632863659 45.070195678305154,7.67742080381678 45.06943349807689,7.677097251365256 45.068940095356496,7.676699449786899 45.068333461609548,7.676283264292388 45.067702789473813,7.676014132693209 45.067323820657982,7.675935200133707 45.067212679046634,7.675547777127381 45.066667143189278,7.675224847327061 45.06621240426265,7.675164775596245 45.066127810810777,7.674718601792915 45.065499519414082)))" "P.ZZA S. CARLO-P.ZZA CARLO FELICE" NA NA 4001 2014 1396090.625 4991147.5 375 0.0937265683579105
"5" "05" "MULTIPOLYGON (((7.668317769722712 45.075373120881487,7.66812171594639 45.074653656747664,7.668534450528359 45.074509269147164,7.669089324256181 45.07431799051021,7.668547908193252 45.073532936019816,7.669231526260721 45.073289616386525,7.670270724772863 45.072920064240861,7.670430767087959 45.072863159288531,7.671194981183928 45.07259170021095,7.671532067888552 45.072471272894475,7.672248618809088 45.072215284905262,7.673062794887043 45.071924414328478,7.673272562972902 45.071849474265619,7.673936436714674 45.071612288989542,7.674845422663345 45.071287522944182,7.675386826675254 45.072075285116242,7.675836379575927 45.072729301300491,7.676320954786135 45.073434241660109,7.676345759122153 45.073470328802834,7.676566824281103 45.073791936158251,7.676599697631389 45.073839559675633,7.676805234438128 45.074137304112163,7.677177907721731 45.074678382027443,7.677384600548638 45.074978477400869,7.677588029628355 45.075273875328477,7.677809085799018 45.075594868865572,7.67822938593816 45.076193592222921,7.678513885273485 45.076607053699092,7.678842935216014 45.077077659336503,7.679532395909575 45.078073818133042,7.677397161861467 45.078780979752935,7.676737334419138 45.078999490374031,7.676296897311962 45.079145349731078,7.675751993387423 45.079325787907017,7.675611660322484 45.079372253876201,7.674966914168435 45.079585771267858,7.674603207802128 45.079706204686197,7.673839090676272 45.079959222338495,7.67363841671777 45.080025232263843,7.671652934654677 45.080675956487774,7.671547263083721 45.080710589347795,7.671364042420094 45.08077062954942,7.670923252888693 45.08014371975716,7.670646981170033 45.079750797027913,7.670121185325005 45.079002956330783,7.669713756561388 45.078423445856814,7.669431719604289 45.078022295607653,7.669310279835082 45.077864383949866,7.669001784385849 45.077463284248864,7.668646565644768 45.077001411533075,7.668351233961925 45.076617413621499,7.668565498909299 45.076302893088616,7.668514420247406 45.075910652212485,7.668435104484666 45.0757920234417,7.668317769722712 45.075373120881487)))" "PIAZZA STATUTO" NA NA 8009 2014 1395641.75 4992246 956 0.119365713572231
"6" "06" "MULTIPOLYGON (((7.690114033388014 45.065306024599742,7.689469784552694 45.064424086257453,7.690657764415681 45.063999958446786,7.690976542850883 45.063868551577016,7.69174011115499 45.06359412242292,7.692617291367077 45.06327884356763,7.69412646956286 45.062721406368588,7.694750079412122 45.062490768407308,7.694936634110636 45.062421768350312,7.695078856880095 45.062369160962049,7.69570220335052 45.062138595790074,7.695926753654193 45.062348529683071,7.697410860777659 45.063430048502696,7.697463099363076 45.063468106755124,7.697522739834031 45.06351156491403,7.698163975109122 45.063980170090389,7.699557349472856 45.064987689154911,7.699098994891791 45.065423305833114,7.699090076778975 45.065422800031186,7.69885988186264 45.065409624831126,7.698719544151134 45.065553043685156,7.698117059740384 45.066162140549814,7.698023019951775 45.066257437071584,7.697347008239514 45.066942540109565,7.696770433840839 45.067526845877765,7.696207191725484 45.068097636438083,7.695816948547719 45.068493095183463,7.695559677495768 45.068753796081907,7.695039458643102 45.069282242516977,7.694432347848976 45.069896223879525,7.694269482651635 45.070061181511058,7.69389381689325 45.070441829646562,7.692697702651036 45.071650003064676,7.692106347905824 45.070810839165723,7.691879642538583 45.070489125104395,7.691519104222582 45.069977471259868,7.691178211031708 45.069493694532127,7.690836745091311 45.069008935300246,7.691835380213821 45.068599486789864,7.692371078364964 45.06838977273565,7.691562032634463 45.067284723453561,7.690955436784706 45.066458022914411,7.690751004996436 45.066178753439054,7.690433500202007 45.06574499185966,7.690114033388014 45.065306024599742)))" "PIAZZA VITTORIO VENETO" NA NA 4699 2014 1397249.125 4991158.25 435 0.0925728878484784
"7" "07" "MULTIPOLYGON (((7.681552660282424 45.061780259068925,7.68224226036113 45.061533430285792,7.682648396107628 45.061387409189088,7.683801596575484 45.060972781884367,7.684918353601873 45.060570287604698,7.686290454283773 45.060076026309872,7.687840415759636 45.059521959664238,7.688277061322741 45.059382960112806,7.689289803368093 45.059020906345452,7.69076438313365 45.058485059315359,7.6913750743043 45.058250348739996,7.691969625252574 45.058034815238706,7.692031539652308 45.058124431400373,7.692026979370889 45.058126081365828,7.693574224350916 45.0600046695305,7.694580130479129 45.061089478250572,7.69570220335052 45.062138595790074,7.695078856880095 45.062369160962049,7.694936634110636 45.062421768350312,7.694750079412122 45.062490768407308,7.69412646956286 45.062721406368588,7.692617291367077 45.06327884356763,7.69174011115499 45.06359412242292,7.690976542850883 45.063868551577016,7.690731855458459 45.063489827302284,7.690291943856382 45.062899351071749,7.690130400886696 45.062683769415194,7.689984998425002 45.062480159516412,7.689508011020513 45.062518351925405,7.68922974953885 45.062616587948561,7.688956302393254 45.062850857648307,7.688951633439641 45.062855628917148,7.688923405381037 45.062877465013116,7.689031311051938 45.063083358751037,7.688611501177537 45.063236372049545,7.687981497409271 45.062364514771801,7.686536246859008 45.062878198423192,7.685401929525512 45.063281162382239,7.684269977876298 45.063688825870898,7.683443045061684 45.063974213362883,7.68319826037891 45.064055321512249,7.683151692049313 45.064072616624927,7.683087342228984 45.063980811743754,7.682981543767557 45.063831847909121,7.682678247907967 45.06340513638456,7.681552660282424 45.061780259068925)))" "BORGO NUOVO" NA NA 5019 2014 1396821.5 4990590 553 0.110181311018131
"8" "08" "MULTIPOLYGON (((7.662740637978716 45.068537700048971,7.663067538322332 45.068420870800907,7.663210044859966 45.068369922291311,7.664104439322794 45.068050168373034,7.66508198993585 45.067698305085436,7.666245514681374 45.067279914758707,7.66789751217977 45.066687091363633,7.669315312848108 45.06617772586609,7.670118050065431 45.065889431459546,7.670913214388393 45.065603849942754,7.671578985076747 45.065364847677273,7.672455053576758 45.065050338330757,7.674004586510145 45.064494042583355,7.674718601792915 45.065499519414082,7.675164775596245 45.066127810810777,7.675224847327061 45.06621240426265,7.675547777127381 45.066667143189278,7.675935200133707 45.067212679046634,7.676014132693209 45.067323820657982,7.676283264292388 45.067702789473813,7.676699449786899 45.068333461609548,7.677097251365256 45.068940095356496,7.67742080381678 45.06943349807689,7.677920632863659 45.070195678305154,7.677003762152681 45.07052062866601,7.676047083952581 45.07085982767633,7.674845422663345 45.071287522944182,7.673936436714674 45.071612288989542,7.673272562972902 45.071849474265619,7.673062794887043 45.071924414328478,7.672248618809088 45.072215284905262,7.671532067888552 45.072471272894475,7.671194981183928 45.07259170021095,7.670430767087959 45.072863159288531,7.670270724772863 45.072920064240861,7.669231526260721 45.073289616386525,7.668547908193252 45.073532936019816,7.669089324256181 45.07431799051021,7.668534450528359 45.074509269147164,7.66812171594639 45.074653656747664,7.668317769722712 45.075373120881487,7.668435104484666 45.0757920234417,7.668514420247406 45.075910652212485,7.668565498909299 45.076302893088616,7.668351233961925 45.076617413621499,7.668276257917686 45.076519924416367,7.668165969275546 45.076515559219246,7.668017254859759 45.07641037550043,7.667497863398026 45.075666865604774,7.667675070877571 45.075604716206776,7.667486008045336 45.075344024716827,7.667390393900933 45.075190990627732,7.667269758072293 45.075013858603597,7.667238494518921 45.074977732795581,7.666926928710348 45.074549819664995,7.666724945667109 45.074265833670992,7.666734681341653 45.07417712006928,7.666725817376947 45.074106084503491,7.666346161217361 45.073567034122703,7.66625356284384 45.073437515954943,7.66618140081389 45.073330795507736,7.665743155967302 45.072714040417928,7.665216198635874 45.071924456247153,7.665145951837863 45.071840773820448,7.664497776927431 45.070937953891438,7.663928179511812 45.070130951500737,7.663880111731702 45.070090143449114,7.663816332005618 45.070031166180719,7.663514979816691 45.069611987410475,7.663419825410118 45.069510475271535,7.662740637978716 45.068537700048971)))" "COMANDI MILITARI" NA NA 5157 2014 1395365.0625 4991667 310 0.0601124684894318
"9" "09" "MULTIPOLYGON (((7.676945477436434 45.057220417899302,7.676906221871921 45.057143853831207,7.677517091400258 45.056953471611493,7.678151406846957 45.056753266732194,7.679291995613591 45.056395608316286,7.679911748724525 45.056202441799883,7.680417356369349 45.056044864775501,7.681502270410791 45.055702905694488,7.682809590022135 45.055291093249863,7.684481132822622 45.054759041578315,7.684958553493329 45.055425967900625,7.685433344485432 45.056071851073639,7.685876402103457 45.056653653099367,7.686298744466829 45.05723594319953,7.686903355039321 45.058068461099445,7.687379754948426 45.058708636540011,7.687861266952121 45.059363866355902,7.687840415759636 45.059521959664238,7.686290454283773 45.060076026309872,7.684918353601873 45.060570287604698,7.683801596575484 45.060972781884367,7.682648396107628 45.061387409189088,7.68224226036113 45.061533430285792,7.681552660282424 45.061780259068925,7.680755150195542 45.062067093095557,7.680132390016112 45.062291075225481,7.679534390252313 45.061522349178915,7.67908647639003 45.060874186677907,7.678482759976985 45.060046176750923,7.677799053131412 45.059120360261119,7.677494925952322 45.058547923139429,7.677264224149908 45.057950903540501,7.677093557492666 45.057509260195232,7.676945477436434 45.057220417899302)))" "S. SALVARIO - VALENTINO" NA NA 11497 2014 1396282.375 4990316 2605 0.226580847177525
"10" "09bis" "MULTIPOLYGON (((7.680421074766195 45.048987180655267,7.679917121646273 45.048293094717557,7.681440964161978 45.047788401215243,7.681910998630634 45.047632717199114,7.682240457380239 45.047477127039066,7.682365157485021 45.047325951901534,7.683039368528272 45.046375980622223,7.68312857131647 45.046270429721403,7.683356526803681 45.045990325183013,7.683680395029334 45.045633460683916,7.68362690130042 45.045403714953515,7.683809579770498 45.045368428306027,7.684960131667198 45.044984354388973,7.684989264813177 45.045036771039655,7.68562563155264 45.044816746850294,7.686306205497123 45.046183736191203,7.686560249333454 45.046954834252602,7.686869036558055 45.048506083565478,7.686959588736674 45.048823417180458,7.686968135052988 45.048853364151384,7.687097466366833 45.049283358605258,7.687298910236175 45.050012333930603,7.687610298088267 45.051046140872671,7.687660032485268 45.051211424405132,7.687776311435553 45.0515379565351,7.687896652203503 45.051842588228894,7.687873867985277 45.051878205229194,7.687890618709136 45.051908213110529,7.687932687940997 45.051917725319818,7.68814707198761 45.052380921879184,7.6882441267173 45.052557244848416,7.688319098420904 45.052692286164749,7.688475614079712 45.052975728817941,7.688719655624953 45.053369049189037,7.688714969600173 45.05337348989822,7.688730772334999 45.053397173886047,7.688742103867455 45.053400959624248,7.688866393611725 45.053614781674227,7.688927312226139 45.053713823702545,7.689296993440552 45.054322982087925,7.6893835650011 45.05444244703088,7.689488947413507 45.054570318473509,7.689706849220316 45.054797673390702,7.689954538103573 45.055058143899601,7.690123515580808 45.055227577004196,7.690213986417213 45.055295495666257,7.690325546267831 45.055380905202149,7.690572195449237 45.055578286814757,7.69112487714228 45.056036574451191,7.691403589715092 45.056277133801792,7.691761159002553 45.056600071183361,7.692050060536841 45.056961611995654,7.692517111893016 45.057595440650566,7.692527174374467 45.057609201525736,7.692516253371603 45.057612541186558,7.692505173124295 45.057620581493318,7.692500783947265 45.057628209644321,7.69250076892293 45.057639452554426,7.692533936579478 45.057691456993219,7.692501283500767 45.057703225357088,7.692520717638748 45.057728182723203,7.692162551733807 45.057856281178012,7.692147282092032 45.057833611076887,7.692139144229159 45.057825065279879,7.692125970880376 45.057819683488887,7.692110783531819 45.057819078311041,7.692107876031097 45.05781954009192,7.692094523271225 45.057824698093768,7.692085865310479 45.057833555557814,7.692083729607252 45.057844225069026,7.692088574215335 45.057854442555566,7.692103770988754 45.05787763392631,7.691923518509378 45.057942450132416,7.691918555374712 45.057935202731045,7.69190611881001 45.057939669079012,7.691911058637003 45.057946936017522,7.691905656140799 45.057948872482406,7.691969625252574 45.058034815238706,7.6913750743043 45.058250348739996,7.69076438313365 45.058485059315359,7.689289803368093 45.059020906345452,7.688277061322741 45.059382960112806,7.687840415759636 45.059521959664238,7.687861266952121 45.059363866355902,7.687379754948426 45.058708636540011,7.686903355039321 45.058068461099445,7.686298744466829 45.05723594319953,7.685876402103457 45.056653653099367,7.685433344485432 45.056071851073639,7.684958553493329 45.055425967900625,7.684481132822622 45.054759041578315,7.684011947299144 45.054133905665168,7.683588606209231 45.053540224371886,7.683199961592886 45.053005418351027,7.682595366889669 45.05217503081478,7.68210377066725 45.051506222979533,7.68176716019267 45.051043592131677,7.681646039061319 45.050869434137724,7.68155032410143 45.05073864156487,7.681498775454145 45.050648208557099,7.681437525924693 45.050462220487233,7.681358004565865 45.050286505575791,7.680999251561104 45.049783453807017,7.680421074766195 45.048987180655267)))" "" NA NA 21 2014 1396575.5 4989553 7 0.333333333333333
