EnteDiCompetenza;Provincia;Comune;DenominazioneIndirizzo;Indirizzo;NumeroCivico;VIA;CodiceEdificioRilevazione;CodiceEdificioRegionePiemonte;AnnoDiCostruzione;AnnoDiCostruzioneSND;AnnoEsattoDiCostruzione;CopiaArchivioSiNo;ContaEdifici
Comune;Torino;Torino;Strada San Mauro;STRADA SAN MAURO;24;STRADA SAN MAURO 24;06/141;12720179;Anno specificare;Si;1966;No;1
Comune;Torino;Torino;Strada San Vincenzo;STRADA SAN VINCENZO;144;STRADA SAN VINCENZO 144;08/188;12720053;Anno specificare;Si;1844;No;1
Comune;Torino;Torino;Via Acciarini Filippo;VIA ACCIARINI FILIPPO;20;VIA ACCIARINI FILIPPO 20;02/021;12720109;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Strada San Vincenzo;STRADA SAN VINCENZO;40;STRADA SAN VINCENZO 40;08/189;12720101;Anno specificare;Si;1975;No;1
Comune;Torino;Torino;Via Anglesio Martino;VIA ANGLESIO MARTINO;17;VIA ANGLESIO MARTINO 17;06/139;12720076;Anno specificare;Si;1983;No;1
Comune;Torino;Torino;Via Ambrosini Luigi;VIA AMBROSINI LUIGI;1;VIA AMBROSINI LUIGI 1;05/094;12720095;Anno specificare;Si;1960;No;1
Comune;Torino;Torino;Via Ancina Giovenale;VIA ANCINA GIOVENALE;15;VIA ANCINA GIOVENALE 15;06/146;12720171;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via Artom Emanuele;VIA ARTOM EMANUELE;109/3;VIA ARTOM EMANUELE 109/3;10/219;12720014;Anno specificare;Si;1968;No;1
Comune;Torino;Torino;Via Aquileia;VIA AQUILEIA;8;VIA AQUILEIA 8;08/180;12720145;Anno specificare;Si;1923;No;1
Comune;Torino;Torino;Via Baltimora;VIA BALTIMORA;110;VIA BALTIMORA 110;02/026;12720163;Anno specificare;Si;1974;No;1
Comune;Torino;Torino;Via Banfo Antonio;VIA BANFO ANTONIO;32;VIA BANFO ANTONIO 32;06/143;12720123;Anno specificare;Si;1906;No;1
Comune;Torino;Torino;Via Baltimora;VIA BALTIMORA;171;VIA BALTIMORA 171;02/034;12720131;Anno specificare;Si;1967;No;1
Comune;Torino;Torino;Via Bardassano;VIA BARDASSANO;5;VIA BARDASSANO 5;07/153;12720185;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Baltimora;VIA BALTIMORA;76;VIA BALTIMORA 76;02/038;12720046;Anno specificare;Si;1962;No;1
Comune;Torino;Torino;Via Asigliano Vercellese;VIA ASIGLIANO VERCELLESE;10;VIA ASIGLIANO VERCELLESE 10;07/150;12720177;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Bardonecchia;VIA BARDONECCHIA;34;VIA BARDONECCHIA 34;03/040;12720015;Anno specificare;Si;1985;No;1
Comune;Torino;Torino;Via Beinasco;VIA BEINASCO;34;VIA BEINASCO 34;07/165;12720043;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Bellezia Gian Francesco;VIA BELLEZIA GIAN FRANCESCO;27;VIA BELLEZIA GIAN FRANCESCO 27;01/002;12720029;2 - nell'Ottocento;Si;;No;1
Comune;Torino;Torino;Via Berta Augusto;VIA BERTA AUGUSTO;15;VIA BERTA AUGUSTO 15;03/055;12720057;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Bersezio Vittorio;VIA BERSEZIO VITTORIO;11;VIA BERSEZIO VITTORIO 11;07/166;12720051;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Bertola Antonio Giuseppe;VIA BERTOLA ANTONIO GIUSEPPE;10;VIA BERTOLA ANTONIO GIUSEPPE 10;01/001;12720117;Anno specificare;Si;1899;No;1
Comune;Torino;Torino;Via Beato Cafasso Giuseppe;VIA BEATO CAFASSO GIUSEPPE;73;VIA BEATO CAFASSO GIUSEPPE 73;07/154;12720100;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Bianz̬;VIA BIANZ̬;7;VIA BIANZ̬ 7;04/075;12720183;Anno specificare;Si;1965;No;1
Comune;Torino;Torino;Via Bligny;VIA BLIGNY;1 bis;VIA BLIGNY 1 bis;01/006;12720287;Anno specificare;Si;1783;No;1
Comune;Torino;Torino;Via Boccherini Luigi;VIA BOCCHERINI LUIGI;43;VIA BOCCHERINI LUIGI 43;06/127;12720026;Anno specificare;Si;1973;No;1
Comune;Torino;Torino;Via Bologna;VIA BOLOGNA;77;VIA BOLOGNA 77;06/132;12720106;Anno specificare;Si;1969;No;1
Comune;Torino;Torino;Via Braccini Paolo;VIA BRACCINI PAOLO;70;VIA BRACCINI PAOLO 70;03/043;12720146;Anno specificare;Si;1920;No;1
Comune;Torino;Torino;Via Boston;VIA BOSTON;33;VIA BOSTON 33;02/022;12720024;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Braccini Paolo;VIA BRACCINI PAOLO;63;VIA BRACCINI PAOLO 63;03/044;12720210;Anno specificare;Si;1971;No;1
Comune;Torino;Torino;Via Campobasso;VIA CAMPOBASSO;11;VIA CAMPOBASSO 11;06/128;12720093;Anno specificare;Si;1964;No;1
Comune;Torino;Torino;Via Capelli Carlo;VIA CAPELLI CARLO;51;VIA CAPELLI CARLO 51;04/077;12720088;Anno specificare;Si;1933;No;1
Comune;Torino;Torino;Via Capelli Carlo;VIA CAPELLI CARLO;66;VIA CAPELLI CARLO 66;04/084;12720198;Anno specificare;Si;1980;No;1
Comune;Torino;Torino;Via Buniva Michele;VIA BUNIVA MICHELE;19;VIA BUNIVA MICHELE 19;07/159;12720084;Anno specificare;Si;1891;No;1
Comune;Torino;Torino;Via Casteldelfino;VIA CASTELDELFINO;24;VIA CASTELDELFINO 24;05/096;12720202;Anno specificare;Si;1972;No;1
Comune;Torino;Torino;Via Brissogne;VIA BRISSOGNE;32;VIA BRISSOGNE 32;03/045;12720147;6 - tra il 1961 ed il 1975;Si;;No;1
