name;schools;school#;average;id;coord
Cernaia;VIA MONTECUCCOLI RAIMONDO, VIA MONTECUCCOLI RAIMONDO, VIA PERRONE, VIA PERRONE, VIA JUVARRA, VIA JUVARRA;6;236.517106612;25;45.072645, 7.670260000000001
Pietro Micca;VIA BERTOLA ANTONIO GIUSEPPE, VIA BERTOLA ANTONIO GIUSEPPE;2;77.5055830091;104;45.070515, 7.682285
Pio VII 2;CORSO CAIO PLINIO, CORSO CAIO PLINIO, LARGO LA LOGGIA, LARGO LA LOGGIA;4;273.705130521;106;45.029465, 7.6547600000000005
De Amicis;CORSO ALIGHIERI DANTE, CORSO ALIGHIERI DANTE, VIA MADAMA CRISTINA, VIA MADAMA CRISTINA;4;265.610564262;35;45.046765, 7.673030000000001
Paravia;VIA CARMINE (DEL), VIA CARMINE (DEL);2;145.794885347;99;45.077575, 7.67035
Umbria;VIA SAVIGLIANO;1;126.975242547;147;45.083059999999996, 7.669555
Valdocco;VIA CARMINE (DEL), VIA CARMINE (DEL), VIA MASSERANO, VIA MASSERANO;4;334.527098353;152;45.07809, 7.675714999999999
Arbarello;VIA PERRONE, VIA PERRONE, VIA CITTADELLA, VIA CITTADELLA, VIA BLIGNY, VIA BLIGNY;6;151.085733942;2;45.07356, 7.676585
Paleocapa;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;226.569347581;98;45.064155, 7.67881
Madama Cristina;CORSO ALIGHIERI DANTE, CORSO ALIGHIERI DANTE, VIA MADAMA CRISTINA, VIA MADAMA CRISTINA;4;92.1736126757;75;45.047315000000005, 7.6758
Consolata;VIA CITTADELLA, VIA CITTADELLA, VIA BLIGNY, VIA BLIGNY, VIA BELLEZIA GIAN FRANCESCO, VIA BELLEZIA GIAN FRANCESCO;6;236.739126675;30;45.075790000000005, 7.678
Maria Vittoria;"VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA MARIA VITTORIA, VIA MARIA VITTORIA, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO""";12;208.830846584;77;45.065135, 7.692285000000001
Porta Nuova 2;CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;2;323.026004783;112;45.06285, 7.679314999999999
Politecnico 3;VIA COLOMBO CRISTOFORO, VIA COLOMBO CRISTOFORO;2;312.197210949;109;45.060735, 7.661295
Porta Nuova 1;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;324.123118693;111;45.06301, 7.678914999999999
Politecnico 4;CORSO DUCA DEGLI ABRUZZI (CORSO MONTEVECCHIO 67);1;222.904381221;110;45.063945000000004, 7.65998
VIA MONFERRATO;VIA SANTAROSA SANTORRE, VIA SANTAROSA SANTORRE;2;289.669683075;-4;45.06224, 7.69768
Ventimiglia;VIA GARESSIO, VIA GARESSIO, VIA FINALMARINA, VIA FINALMARINA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, PIAZZA GIACOMINI CARLO, PIAZZA GIACOMINI CARLO;10;198.361615025;156;45.032740000000004, 7.671595
Carducci;VIA NIZZA, VIA NIZZA;2;137.905989362;19;45.042565, 7.6709
IV Marzo;VIA BELLEZIA GIAN FRANCESCO, VIA BELLEZIA GIAN FRANCESCO;2;223.74697864;63;45.073326666666695, 7.68228
Re Umberto;VIA MASSENA ANDREA, VIA MASSENA ANDREA;2;85.7075935478;120;45.059545, 7.670615
Bernini;VIA DUCHESSA JOLANDA, VIA DUCHESSA JOLANDA, VIA DUCHESSA IOLANDA, VIA DUCHESSA IOLANDA, CORSO TASSONI, CORSO TASSONI;6;181.840885008;9;45.076155, 7.6555550000000006
Montevideo;VIA MONTEVIDEO, VIA MONTEVIDEO, VIA TUNISI, VIA TUNISI;4;252.442641199;87;45.037045, 7.6517
Baretti;VIA GIACOSA GIUSEPPE;1;325.202087141;4;45.057635, 7.681255
Rigola;VIA LANZO, VIA LANZO;2;347.573364592;128;45.120309999999996, 7.648560000000001
Giolitti 2;VIA MILLE (DEI), VIA MILLE (DEI), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA MARIA VITTORIA, VIA MARIA VITTORIA;8;232.738628694;57;45.0641, 7.690460000000001
Solferino 2;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, VIA MEUCCI, VIA MEUCCI;10;298.495466851;136;45.0682433333333, 7.67619333333333
Arcivescovado;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;231.361881559;3;45.06706, 7.678175
Vittorio Veneto 2;"VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA MARIA VITTORIA, VIA MARIA VITTORIA, VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO""";12;197.014223117;164;45.06518, 7.693675
VIA NIZZA;VIA FINALMARINA, VIA FINALMARINA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, VIA LAVAGNA, PIAZZA GIACOMINI CARLO, PIAZZA GIACOMINI CARLO;8;171.494871136;-5;45.03454, 7.668069999999999
Meucci;VIA MEUCCI, VIA MEUCCI;2;88.9791037163;84;45.06922, 7.676089999999999
Murazzi;VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA), VIA ROCCA (DELLA);4;215.967780331;91;45.06193, 7.693955
Tribunale;VIA PALMIERI PIETRO, VIA PALMIERI PIETRO, VIA COLLEGNO GIACINTO, VIA COLLEGNO GIACINTO;4;229.068071327;145;45.070840000000004, 7.66127
Pio VII;VIA PALMA DI CESNOLA, VIA PALMA DI CESNOLA, VIA MONTECORNO, VIA MONTECORNO, VIA MONTE CORNO, VIA MONTE CORNO, CORSO CAIO PLINIO, CORSO CAIO PLINIO;8;216.715688005;105;45.024985, 7.65212
Politecnico 1;CORSO DUCA DEGLI ABRUZZI (CORSO MONTEVECCHIO 67);1;219.664385549;107;45.062365, 7.6625
Porta Susa 2;VIA JUVARRA, VIA JUVARRA;2;276.238371027;115;45.073440000000005, 7.668164999999999
Molinette 1;VIA NIZZA, VIA NIZZA;2;182.494989691;85;45.042325, 7.673189999999999
Porta Susa 1;VIA JUVARRA, VIA JUVARRA;2;314.508912627;114;45.07301, 7.667889999999999
Giambone;VIA POIRINO, VIA POIRINO;2;184.394746489;54;45.033055, 7.647035000000001
Bava;VIA BUNIVA MICHELE, VIA BUNIVA MICHELE, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO , VIA GIULIA DI BAROLO, CORSO REGINA MARGHERITA, CORSO REGINA MARGHERITA;8;234.857968943;5;45.06909, 7.70193
Carlo Alberto;VIA ACCADEMIA ALBERTINA, VIA ACCADEMIA ALBERTINA, VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO, VIA BIANZ\xcc\xac, VIA PASSONI MARIO E LUIGI, VIA VALFR\xcc\xac BEATO SEBASTIANO, STRADA ALTESSANO/VIA SANSOVINO;10;251.035343335;20;45.068045, 7.686665
Universita` 1;"VIA GIULIA DI BAROLO, VIA GIULIA DI BAROLO, ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", ""VIA SANTOTTAVIO"", VIA S. OTTAVIO , VIA S. OTTAVIO ";8;151.074955135;149;45.068515000000005, 7.6944
Matteotti 1;VIA PARINI, VIA PARINI, VIA PARINI, VIA PARINI, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO, CORSO MATTEOTTI GIACOMO;8;183.382191007;78;45.066305, 7.674805
Matteotti 2;VIA REVEL OTTAVIO, VIA REVEL OTTAVIO, VIA MONTECUCCOLI RAIMONDO, VIA MONTECUCCOLI RAIMONDO;4;205.554032775;79;45.067975, 7.670319999999999
Matteotti 3;VIA REVEL OTTAVIO, VIA REVEL OTTAVIO, VIA MONTECUCCOLI RAIMONDO, VIA MONTECUCCOLI RAIMONDO;4;219.241804564;80;45.068805, 7.66785
