name;average;max;mean;surface_sale;sale#;min;id;coord;sales
Regina Margherita 1;271.270864956;553;361;1445;4;263;123;45.06957, 7.705755;VIA VANCHIGLIA 42, CORSO REGINA MARGHERITA 27, C.SO REGINA MARGHERITA 27, VIA A. FONTANESI 10
Inghilterra 1;257.964616314;387;298;1793;6;263;62;45.07287, 7.6657399999999996;VIA SUSA 3/B, ACAJA 51/A, VIA CERNAIA 31, VIA CERNAIA 40, VIA DUCHESSA JOLANDA 13/A, CORSO INGHILTERRA 47
XI Febbraio;346.375739007;316;316;316;1;316;165;45.07692, 7.68738;GALLERIA UMBERTO I 40
Bolzano;262.128155783;387;317;1268;4;263;13;45.07139, 7.666689999999999;CORSO VINZAGLIO 19, VIA SUSA 3/B, VIA CERNAIA 31, VIA CERNAIA 40
Valdocco 2;240.829331729;472;355;2843;8;295;153;45.075334999999995, 7.673719999999999;VIA A. MANZONI 16/E, VIA GIUSEPPE GARIBALDI 37, VIA GIUSEPPE GARIBALDI 32/E, PIAZZA SAVOIA 2, VIA GIUSEPPE GARIBALDI 44, PIAZZA STATUTO 9, VIA S.DOMENICO 35/C, CORSO VALDOCCO 15/B
Dante;167.184594073;980;455;3643;8;258;34;45.04764, 7.67267;VIA TIZIANO 20, VIA GIOTTO 1, PIAZZA EDMONDO DE AMICIS 125, CORSO DANTE 73/C, CORSO DANTE 50/A, VIA NIZZA 113, VIA NIZZA 64/A, VIA NIZZA 95
Piazza Carlina;247.948003021;375;304;2132;7;251;101;45.06678, 7.6889199999999995;VIA ROSINE 8, VIA GIOLITTI 16/D, VIA ROSINE 4/B, VIA PO 46/B, VIA L. DES AMBROIS 5/R, VIA M. VITTORIA 7/A, VIA BOGINO 2/B
Galileo Ferraris 5;247.708993107;590;404;1617;4;260;49;45.06682, 7.6714649999999995;CORSO G. MATTEOTTI 15, CORSO G. MATTEOTTI 12/A, CORSO G. MATTEOTTI 25/E, VIA ETTORE DE SONNAZ 13/E
Galileo Ferraris 4;289.536255743;265;265;265;1;265;48;45.06373, 7.66944;VIA MONTEVECCHIO 17
Adriano;217.89720887;399;360;1442;4;322;1;45.070665000000005, 7.65597;VIA VINADIO 23/F, PIAZZA ADRIANO 1, CORSO F. FERRUCCI 24/E, CORSO F. FERRUCCI 24
Nizza 3;136.318385908;2090;1521;6085;4;860;94;45.035740000000004, 7.668660000000001;VIA NIZZA 230, VIA NIZZA 224, VIA NIZZA 210, CORSO SPEZIA 20
Nizza 2;211.858968031;885;450;3153;7;252;93;45.05426, 7.6755949999999995;VIA SALUZZO 75/G, VIA T. VALPERGA CALUSO 18/C, VIA T. VALPERGA CALUSO 14, VIA ODDINO MORGARI 24, VIA NIZZA 53, VIA NIZZA 30, VIA G. RIBET 8/int.3
Nizza 1;241.483619689;885;515;2060;4;276;92;45.057085, 7.676810000000001;VIA NIZZA 53, VIA NIZZA 30, VIA G. RIBET 8/int.3, VIA SALUZZO 29
Galileo Ferraris 2;255.24193377;1200;777;2331;3;331;46;45.056684999999995, 7.66447;CORSO A. DE GASPERI 17/F, VIA CRISTOFORO COLOMBO 43/B, VIA MARCO POLO 15/C
