name;average;max;mean;surface_sale;sale#;min;id;coord;sales
CLN;210.162733001;4878;666;25993;39;284;28;45.06609, 7.682205000000001;VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA CARLO ALBERTO 22, VIA XX SETTEMBRE 19, VIA ROMA 294, VIA ROMA 287, VIA G.L. LAGRANGE 15, VIA G.L. LAGRANGE 15, VIA GIOLITTI 16/D, VIA ROMA 282, VIA G.L. LAGRANGE 10/G, PIAZZA S.CARLO 201, PIAZZA S.CARLO 204, PIAZZA S.CARLO 177, VIA M. VITTORIA 7/A, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 169, PIAZZA S.CARLO 176, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, GALLERIA S. FEDERICO 46, VIA ROMA 112, VIA ROMA 95
Paleocapa;220.418630967;3260;673;17502;26;298;98;45.064155, 7.67881;CORSO VITTORIO EMANUELE II 53, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA S.SECONDO 3/H, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, CORSO VITTORIO EMANUELE II 68/A, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA XX SETTEMBRE 19, VIA ROMA 294, CORSO G. MATTEOTTI 15, VIA ROMA 287, VIA ROMA 282
Madama Cristina;218.317157758;980;446;4020;9;258;75;45.047315000000005, 7.6758;AZEGLIO 43, VIA TIZIANO 20, VIA GIOTTO 1, PIAZZA EDMONDO DE AMICIS 125, CORSO DANTE 73/C, CORSO DANTE 50/A, VIA NIZZA 113, VIA NIZZA 64/A, VIA NIZZA 95
Consolata;248.929516775;596;398;3185;8;297;30;45.075790000000005, 7.678;VIA GIUSEPPE GARIBALDI 18/A, VIA GIUSEPPE GARIBALDI 22, VIA GIUSEPPE GARIBALDI 37, VIA GIUSEPPE GARIBALDI 32/E, PIAZZA SAVOIA 2, VIA S.AGOSTINO 28, CORSO VALDOCCO 15/B, VIA CARDINALE CAGLIERO 2/B
Maria Vittoria;172.984535891;354;289;1449;5;253;77;45.065135, 7.692285000000001;VIA ROSINE 8, PIAZZA VITTORIO VENETO 7/A, VIA ROSINE 4/B, VIA PO 46/B, VIA L. DES AMBROIS 5/R
Cimitero Monumentale;349.38600226;2500;1507;3014;2;514;27;45.078835, 7.701395;VIA FOGGIA 42/A, VIA FOGGIA 42
Porta Nuova 2;228.43281917;3260;670;16086;24;259;112;45.06285, 7.679314999999999;VIA SALUZZO 11/BIS, VIA GOITO 5, CORSO VITTORIO EMANUELE II 53, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA S.SECONDO 3/H, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, CORSO VITTORIO EMANUELE II 68/A, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA XX SETTEMBRE 19
Politecnico 3;275.628997504;1200;800;2400;3;400;109;45.060735, 7.661295;VIA CRISTOFORO COLOMBO 43/B, VIA MARCO POLO 15/C, CORSO PESCHIERA 321/int.1
Porta Nuova 1;236.633250565;3260;670;16086;24;259;111;45.06301, 7.678914999999999;VIA SALUZZO 11/BIS, VIA GOITO 5, CORSO VITTORIO EMANUELE II 53, VIA CARLO ALBERTO 38/B, VIA G.L. LAGRANGE 40/A, VIA S.SECONDO 3/H, VIA G.L. LAGRANGE 47, VIA CARLO ALBERTO 36/H, VIA CARLO ALBERTO 36, VIA G. MAZZINI 9, VIA G.L. LAGRANGE 45/C, PIAZZA CARLO FELICE 35, VIA ANDREA DORIA 6/G, PIAZZA CARLO FELICE 15, CORSO VITTORIO EMANUELE II 68/A, VIA ROMA 365, VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA XX SETTEMBRE 19
VIA MONFERRATO;202.357349083;586;455;911;2;325;-4;45.06224, 7.69768;VIA SANTORRE SANTAROSA IS 6/BIS/A, CORSO CASALE 313/int.6
Ventimiglia;338.283292063;1335;1335;1335;1;1335;156;45.032740000000004, 7.671595;VIA NIZZA 230
Giambone;168.341680967;290;290;290;1;290;54;45.033055, 7.647035000000001;CORSO UNIONE SOVIETICA 252/bis/int.6
Carducci;181.121946073;2950;845;4229;5;276;19;45.042565, 7.6709;VIA NIZZA 187, VIA NIZZA 177,  CARDUCCI 169, VIA NIZZA 149, VIA NIZZA 149
IV Marzo;279.305169716;1200;482;6760;14;316;63;45.073326666666695, 7.68228; 2, PIAZZA CASTELLO 113, VIA PIETRO MICCA 12/A, VIA G. BARBAROUX 2/B, PIAZZA CASTELLO 139, PIAZZA CASTELLO 143, VIA GIUSEPPE GARIBALDI 3/B, VIA MERCANTI 17, VIA GIUSEPPE GARIBALDI 7, VIA GIUSEPPE GARIBALDI 18/A, VIA GIUSEPPE GARIBALDI 22, GALLERIA UMBERTO I 40, VIA S.AGOSTINO 28, PIAZZA REPUBBLICA 3/I
Re Umberto;213.862083666;399;335;1343;4;265;120;45.059545, 7.670615;CORSO G. SOMMEILLER 33/G, VIA S.SECONDO 37/G, VIA PASTRENGO 14/H, VIA MONTEVECCHIO 17
Bernini;327.908637377;439;346;1386;4;254;9;45.076155, 7.6555550000000006;VIA E. CIALDINI 19/G, VIA E. CIALDINI 27/D, VIA SUSA 40, VIA ABATE A.M. VASSALLI EANDI 40/B
Montevideo;255.450418296;715;497;3480;7;255;87;45.037045, 7.6517;VIA TUNISI 124/B, VIA TUNISI 126/A, VIA MADONNA DELLE ROSE 29, VIA MADONNA DELLE ROSE 29/D, VIA ARNALDO DA BRESCIA 3, PIAZZALE S.GABRIELE DI GORIZIA 185, PIAZZALE S.GABRIELE DI GORIZIA 210/A
Livorno;112.385051614;6000;1044;15660;15;280;71;45.087154999999996, 7.669775;CORSO UMBRIA 45/B, VIA TREVISO 16/M, VIA TREVISO 24, VIA TREVISO 22/E, VIA TREVISO 26/C, VIA TREVISO 32/D, VIA TREVISO 42/F, VIA TREVISO 42/F, VIA LIVORNO 50/G, VIA LIVORNO 50/D, VIA LIVORNO 50/A, VIA LIVORNO 49, VIA LIVORNO 49/C, VIA LIVORNO 51, VIA LIVORNO 45/F
Baretti;286.701710515;400;338;1016;3;259;4;45.057635, 7.681255;VIA SALUZZO 29, VIA BERNARDINO GALLIARI 27, VIA SALUZZO 11/BIS
Sommeiller;275.587191248;885;420;2946;7;254;137;45.05526, 7.671755;CORSO FILIPPO TURATI 12/B, VIA A. GENOVESI 2/A, VIA NIZZA 53, VIA NIZZA 30, VIA G. RIBET 8/int.3, CORSO G. SOMMEILLER 33/G, VIA S.SECONDO 37/G
Giolitti 1;223.653622882;4878;762;28204;37;284;56;45.066485, 7.683675;VIA G. MAZZINI 9, VIA ANDREA DORIA 13/C, VIA ANDREA DORIA 6/G, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA CARLO ALBERTO 22, VIA XX SETTEMBRE 19, VIA ROMA 294, VIA ROMA 287, VIA G.L. LAGRANGE 15, VIA G.L. LAGRANGE 15, VIA GIOLITTI 16/D, VIA ROMA 282, VIA G.L. LAGRANGE 10/G, PIAZZA S.CARLO 201, PIAZZA S.CARLO 204, PIAZZA S.CARLO 177, VIA M. VITTORIA 7/A, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 169, PIAZZA S.CARLO 176, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, GALLERIA S. FEDERICO 46, VIA ROMA 112, VIA ROMA 95, VIA ROMA 77, VIA ROMA 80, VIA ROMA 53, VIA ROMA 58, VIA ROMA 54
Giolitti 2;279.858883521;1000;439;2196;5;260;57;45.0641, 7.690460000000001;VIA MILLE 46/D, VIA ROSINE 8, VIA ROSINE 4/B, VIA PO 46/B, VIA L. DES AMBROIS 5/R
Solferino 2;289.971692086;691;414;4147;10;270;136;45.0682433333333, 7.67619333333333;CORSO G. MATTEOTTI 15, CORSO G. MATTEOTTI 12/A, CORSO G. MATTEOTTI 25/E, VIA S.TERESA 19/F, CORSO GALILEO FERRARIS 2/D, CORSO GALILEO FERRARIS 2, VIA PIETRO MICCA 22/F, VIA CERNAIA 6/H, VIA CERNAIA 17/G, VIA CERNAIA 16/G
Sant´Anselmo;251.105134708;400;339;2035;6;259;133;45.059665, 7.681385000000001;VIA SALUZZO 29, VIA BERNARDINO GALLIARI 27, VIA SALUZZO 11/BIS, CORSO VITTORIO EMANUELE II IS 32/BIS/C, VIA GOITO 5, CORSO VITTORIO EMANUELE II 38
Arcivescovado;285.599311378;2168;615;10467;17;298;3;45.06706, 7.678175;VIA ROMA 376, VIA ROMA 360, VIA ROMA 343, VIA ROMA 354, VIA ROMA 325, VIA BRUNO BUOZZI 5/C, VIA ROMA 305, VIA XX SETTEMBRE 19, VIA ROMA 294, CORSO G. MATTEOTTI 15, VIA ROMA 287, VIA ROMA 282, CORSO G. MATTEOTTI 12/A, PIAZZA S.CARLO 204, PIAZZA S.CARLO 176, VIA S.TERESA 14/B, VIA S.TERESA 19/F
Padova;114.338268187;2500;1507;3014;2;514;97;45.0791, 7.698425;VIA FOGGIA 42/A, VIA FOGGIA 42
Vittorio Veneto 2;146.049663629;302;273;1095;4;253;164;45.06518, 7.693675;VIA ROSINE 8, PIAZZA VITTORIO VENETO 7/A, VIA ROSINE 4/B, VIA PO 46/B
VIA NIZZA;280.416590017;2900;1019;12235;12;390;-5;45.03454, 7.668069999999999;VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 262, VIA NIZZA 230, VIA NIZZA 224, VIA NIZZA 210, CORSO SPEZIA 20
Meucci;231.331626958;691;422;3380;8;270;84;45.06922, 7.676089999999999;CORSO G. MATTEOTTI 12/A, VIA S.TERESA 19/F, CORSO GALILEO FERRARIS 2/D, CORSO GALILEO FERRARIS 2, VIA PIETRO MICCA 22/F, VIA CERNAIA 6/H, VIA CERNAIA 17/G, VIA CERNAIA 16/G
Murazzi;304.632291161;1000;839;2519;3;519;91;45.06193, 7.693955;CORSO MONCALIER 15, CORSO MONCALIERI 15, VIA MILLE 46/D
Tribunale;239.104705713;387;327;1309;4;264;145;45.070840000000004, 7.66127;VIA SUSA 3/B, VIA AVIGLIANA 16/B, ACAJA 51/A, VIA DUCHESSA JOLANDA 13/A
Pio VII;271.645779769;398;398;398;1;398;105;45.024985, 7.65212;CORSO CAIO PLINIO 20/A
Porta Susa 2;225.727903332;395;328;1968;6;263;115;45.073440000000005, 7.668164999999999;VIA SUSA 3/B, VIA CERNAIA 31, VIA CERNAIA 40, VIA A. MANZONI 16/E, CORSO INGHILTERRA 47, PIAZZA STATUTO 9
Molinette 1;240.628925191;2950;886;5317;6;276;85;45.042325, 7.673189999999999;VIA NIZZA 187, VIA NIZZA 177, CORSO BRAMANTE 93,  CARDUCCI 169, VIA NIZZA 149, VIA NIZZA 149
Molinette 2;204.509959055;1088;732;1465;2;377;86;45.04275, 7.67749;CORSO BRAMANTE 93, AZEGLIO 43
Porta Susa 1;236.127593585;387;314;1889;6;263;114;45.07301, 7.667889999999999;CORSO VINZAGLIO 19, VIA SUSA 3/B, VIA CERNAIA 31, VIA CERNAIA 40, VIA A. MANZONI 16/E, CORSO INGHILTERRA 47
Sebastopoli;323.537556217;1222;779;1559;2;337;135;45.039770000000004, 7.6608350000000005;VIA V. STEFFENONE 34/A, VIA F. MICHELI 9/B
Bava;168.896616941;553;388;1554;4;263;5;45.06909, 7.70193;VIA VANCHIGLIA 18/I, VIA VANCHIGLIA 42, CORSO REGINA MARGHERITA 27, C.SO REGINA MARGHERITA 27
Carlo Alberto;272.314861889;2033;596;17893;30;251;20;45.068045, 7.686665;VIA CARLO ALBERTO 22, VIA GIOLITTI 16/D, VIA G.L. LAGRANGE 10/G, VIA L. DES AMBROIS 5/R, PIAZZA S.CARLO 201, PIAZZA S.CARLO 177, VIA M. VITTORIA 7/A, Via G.L. Lagrange 2/Q, PIAZZA S.CARLO 169, PIAZZA S.CARLO 145, VIA ROMA 121, VIA ROMA 124, VIA S.TERESA 2/B, GALLERIA S. FEDERICO 46, VIA ROMA 112, VIA ROMA 95, VIA BOGINO 2/B, VIA ROMA 77, VIA ROMA 80, VIA ROMA 53, VIA ROMA 58, VIA ROMA 54, VIA ROMA 56, VIA ROMA 33, VIA ROMA 38, VIA CESARE BATTISTI 1, VIA ACCADEMIA DELLE SCIENZE 4/C, VIA ROMA 5,  2, PIAZZA CASTELLO 113
Spezia 1;347.509803415;270;270;270;1;270;138;45.036345000000004, 7.67507;VIA GENOVA 31
Universita` 1;274.607193368;813;410;2871;7;253;149;45.068515000000005, 7.6944;PIAZZA VITTORIO VENETO 7/A, VIA ROSINE 4/B, VIA PO 46/B, VIA VANCHIGLIA 18/I, VIA ARTISTI 14/B, VIA ARTISTI 14/C, VIA CONTE LUIGI TARINO 10/A
Matteotti 1;133.239231422;590;432;1731;4;370;78;45.066305, 7.674805;CORSO VITTORIO EMANUELE II 68/A, CORSO G. MATTEOTTI 15, CORSO G. MATTEOTTI 12/A, CORSO G. MATTEOTTI 25/E
Matteotti 2;224.79958014;370;315;946;3;260;79;45.067975, 7.670319999999999;CORSO G. MATTEOTTI 25/E, VIA ETTORE DE SONNAZ 13/E, CORSO VINZAGLIO 19
Matteotti 3;205.534207344;316;288;576;2;260;80;45.068805, 7.66785;VIA ETTORE DE SONNAZ 13/E, CORSO VINZAGLIO 19
