id;name;mall#;average;malls;coord
Le Serre;223.184871702;8;66;45.06313, 7.57683;50518018, 50519011, 50522012, 50522011, 50501023, 50531013, 50531012, 56859001;
Dora Siena 1;266.065793217;11;38;45.074884999999995, 7.70223;57590001, 52538004, 52538005, 55058001, 57265001, 57265002, 53842001, 52447005, 52487003, 52508003, 52508002;
Pio VII;220.440755872;14;105;45.024985, 7.65212;51475005, 51475006, 51589007, 51570007, 57063001, 51520011, 51514007, 51514006, 51519008, 51564010, 51612010, 51564009, 51560007, 51560008;
Europa Unita;208.717995181;8;39;45.09064, 7.570130000000001;50491023, 50491024, 50474023, 50474022, 53799001, 50466021, 50493015, 50493014;
Porta Susa 2;171.028884941;26;115;45.073440000000005, 7.668164999999999;51943002, 51954003, 55558003, 55558001, 57072001, 56687003, 56687004, 56687001, 51857005, 51850005, 51952004, 51952003, 56786001, 57125001, 51950003, 51950004, 57259001, 51904003, 51955008, 51932003, 57787001, 51938003, 51955002, 56668001, 52526004, 56669001;
Molinette 1;192.86805787;16;85;45.042325, 7.673189999999999;52014002, 57869003, 56981001, 52044003, 52044004, 57869008, 57869007, 57869004, 51997002, 52107002, 52099003, 57899001, 51994003, 51994002, 52040003, 52040002;
Molinette 2;148.472163939;6;86;45.04275, 7.67749;52044003, 52044004, 52120003, 52107002, 52099003, 52132003;
Porta Susa 1;146.523322255;23;114;45.07301, 7.667889999999999;51943002, 51954003, 55558003, 55558001, 57072001, 56687003, 56687004, 56687001, 51857005, 51850005, 51952004, 51952003, 56786001, 57125001, 51950003, 51950004, 57259001, 51904003, 51955008, 51932003, 57787001, 51938003, 51955002;
Sebastopoli;185.150885472;8;135;45.039770000000004, 7.6608350000000005;51713004, 51647005, 51734008, 51734007, 51662008, 51672004, 51770005, 51783005;
Torino Esposizioni;226.327890824;12;143;45.050475, 7.68118;52168002, 52185004, 52114003, 56962001, 52123003, 52169002, 52215003, 52208004, 52149002, 52208003, 52156002, 52171002;
Bava;224.384845874;10;5;45.06909, 7.70193;52493003, 52551002, 52476002, 52551003, 52520002, 54760001, 52494004, 52494003, 52518003, 52510003;
Carlo Alberto;259.748963605;18;20;45.068045, 7.686665;57370001, 52295005, 52298003, 54746001, 56208002, 57369001, 56978001, 52313007, 52320003, 55568001, 52313005, 52313006, 57368001, 55571001, 52287003, 52254004, 52254003, 54564003;
Spezia 1;174.360671669;10;138;45.036345000000004, 7.67507;52084003, 52073002, 53832002, 53832001, 53832003, 53833002, 53833001, 53831001, 52003002, 52003003;
Universita` 1;244.10107979;27;149;45.068515000000005, 7.6944;52392003, 53715002, 52347004, 57881001, 52427002, 57882002, 57882001, 53715001, 52428002, 52313007, 52320003, 52313005, 52313006, 52395004, 57368001, 54754001, 52385003, 52385004, 52395003, 54753001, 54756001, 52360005, 52360003, 52376002, 52360004, 52341004, 52338003;
Matteotti 1;221.438801845;24;78;45.066305, 7.674805;52069002, 56663002, 56663003, 52069003, 56663007, 52116002, 56663005, 56663004, 57878001, 57878002, 52005002, 52051003, 53767001, 52063002, 52094002, 52078004, 52011002, 52013002, 52041003, 52106002, 52034003, 56682001, 52113003, 52113005;
Matteotti 2;216.729928947;14;79;45.067975, 7.670319999999999;51963003, 51963004, 52005002, 52051003, 53767001, 56662003, 52011002, 52013002, 51888005, 51894004, 51936003, 52041003, 52034003, 51941004;
Matteotti 3;248.63338551;20;80;45.068805, 7.66785;51963003, 51963004, 56662003, 52011002, 51877004, 51877005, 52013002, 51888005, 51894004, 51936003, 51941004, 51882006, 57071001, 51921008, 57059003, 51921007, 51943002, 51954003, 55558003, 55558001;
