id;name;mall#;average;malls;coord
Galileo Ferraris 5;228.731207926;20;49;45.06682, 7.6714649999999995;56663002, 56663003, 51974002, 51974003, 56663007, 56663005, 56663004, 51963003, 51963004, 52005002, 52051003, 53767001, 52063002, 52078004, 52011002, 52013002, 51936003, 52041003, 52034003, 51941004;
Galileo Ferraris 4;217.243097443;19;48;45.06373, 7.66944;52004003, 51911003, 51911004, 52038003, 52002004, 52002002, 52002003, 51948003, 52018002, 51948002, 51925004, 51912003, 56663002, 51974002, 51974003, 51872007, 51963003, 51963004, 52005002;
Lingotto Fiere;207.859772205;8;69;45.03105, 7.666585;51902005, 51968003, 51916003, 51862009, 51875005, 51945002, 51885004, 51178015;
Nizza 3;233.111579995;10;94;45.035740000000004, 7.668660000000001;51996004, 51178015, 51924003, 51972003, 51923004, 53831001, 52003002, 57866005, 52003003, 57866001;
Nizza 2;220.494609577;11;93;45.05426, 7.6755949999999995;57871004, 52052005, 57057001, 52156002, 52070004, 52070005, 52070008, 52088002, 52007003, 52007002, 57872003;
Nizza 1;161.567705543;7;92;45.057085, 7.676810000000001;52088002, 57872003, 52105005, 52105004, 52048002, 52105006, 52055004;
Galileo Ferraris 2;251.370269152;13;46;45.056684999999995, 7.66447;51789004, 51789005, 51880005, 51880004, 51830006, 51830005, 51926003, 51913003, 51884004, 51855005, 51878007, 51878006, 51827004;
Bertola;165.832200403;17;10;45.06982, 7.68231;56208002, 55568001, 57192001, 55571001, 52221004, 52221003, 52221002, 52138002, 52192003, 52213005, 52213004, 52254004, 52206003, 52187004, 52254003, 52177002, 52238003;
Carrara;215.266533473;9;21;45.069155, 7.720385;52745001, 52757001, 52777001, 52717001, 52728001, 52743001, 52751001, 52785001, 52790001;
Porta Nuova 2;158.122449563;20;112;45.06285, 7.679314999999999;53674005, 53674006, 52216003, 52209004, 57364001, 53838001, 52119002, 52082004, 56581002, 52146002, 52146006, 52128004, 52146003, 52181003, 52181004, 52137005, 52137003, 52116002, 56157003, 57878001;
Vittorio Emanuele II 2;232.683400886;23;159;45.06755, 7.665805000000001;51872007, 57880002, 57880003, 57880004, 57880001, 51963003, 56662003, 51877004, 51877005, 51888005, 56697002, 56697001, 51894004, 51936003, 51784005, 51941004, 51784006, 51882006, 57071001, 51921008, 57059003, 51921009, 51921007;
Vittorio Emanuele II 3;208.595485235;24;160;45.06454, 7.6738100000000005;52038003, 52002004, 52082004, 52002002, 52002003, 52018002, 52069002, 56663002, 56663003, 51974002, 52069003, 51974003, 56663007, 52116002, 56663005, 56663004, 57878001, 57878002, 52005002, 52051003, 53767001, 52063002, 52094002, 52078004;
Vittorio Emanuele II 4;219.422679615;19;161;45.061735, 7.6821;52248003, 52251003, 52246003, 52252004, 53674005, 53674006, 52216003, 52012003, 52209004, 57364001, 53838001, 56780002, 56581002, 52146002, 52146006, 52146003, 52181003, 52710002, 52181004;
Vittorio Emanuele II 5;215.881935402;15;162;45.06061, 7.684455000000001;52227003, 52289004, 52280003, 52248003, 52251003, 52246003, 52252004, 55574001, 52216003, 52012003, 52209004, 57364001, 53838001, 56780002, 52710002;
Vittorio Emanuele II 6;221.888139236;26;163;45.063795, 7.676260000000001;52058003, 52038003, 52119002, 52082004, 56581002, 52146002, 52146006, 52128004, 52146003, 52181003, 52181004, 52137005, 52137003, 52069002, 56663002, 56663003, 52069003, 56663007, 52116002, 56663005, 56663004, 57878001, 57878002, 52051003, 52063002, 52094002;
Lagrange;197.06761513;18;64;45.06344, 7.68087;53674005, 53674006, 52216003, 52209004, 57364001, 53838001, 52119002, 56581002, 52146002, 52146006, 52128004, 52146003, 52181003, 52181004, 52137005, 52137003, 52116002, 56157003;
Piazza Nizza;198.24071388;9;103;45.051615000000005, 7.67435;52114003, 52123003, 57871004, 52052005, 57057001, 52070004, 52070005, 52070008, 52088002;
Tortona;188.157543941;15;144;45.071645000000004, 7.707644999999999;52551002, 52552003, 52551003, 54760001, 52542003, 52518003, 52563004, 52541002, 52563003, 52563005, 52568004, 52568005, 52617003, 52617004, 57590001;
Re Umberto 2;257.488837617;17;121;45.056020000000004, 7.6681;51944004, 51944003, 51880005, 51880004, 52007003, 51982003, 51985003, 52007002, 51830006, 51830005, 51926003, 51951003, 51913003, 51940003, 51884004, 51878007, 51878006;
Castelfidardo;233.398275877;21;22;45.068215, 7.662380000000001;56662003, 51877004, 51877005, 54735001, 51888005, 56697002, 56697001, 51894004, 51784005, 51784006, 51720010, 51882006, 51720005, 57071001, 51720006, 51921008, 57059003, 51720009, 51921009, 51921007, 51029010;
Orbassano;192.638402358;14;96;45.05312, 7.655695;51536005, 51580007, 51549008, 51580008, 51699005, 51630003, 51632005, 51584009, 57455001, 51584008, 51581007, 51633004, 51644005, 57454002;
Universita`3;220.246737576;18;150;45.06758, 7.69171333333333;53704002, 52295005, 52298003, 52347004, 57881001, 57882002, 57882001, 52313007, 52320003, 52313005, 52313006, 52395004, 57368001, 54754001, 52385003, 52385004, 52395003, 54753001;
Principi d`Acaja 2;258.344404593;15;117;45.07606, 7.664295;51857005, 51850005, 56786001, 51904003, 51739007, 51739008, 51744005, 51774004, 51856009, 52526004, 51856007, 51915002, 51895004, 51845004, 51829004;
Valentino 2;181.229163887;5;155;45.054875, 7.68553;52240002, 52239003, 52205003, 52258003, 52257005;
Valentino 1;245.883297572;15;154;45.059145, 7.68805;52258003, 52257005, 52304003, 52289004, 52300003, 52280003, 52248003, 52334003, 52251003, 52246003, 55577001, 52252004, 55574001, 52012003, 55576001;
Principi d`Acaja 1;244.303869444;8;116;45.07318, 7.6622699999999995;51029010, 57072001, 51857005, 51850005, 56786001, 51904003, 51739007, 51739008;
Giardini Cavour;254.334223629;17;55;45.06315, 7.688885000000001;55577001, 55578001, 55574001, 52012003, 55576001, 56780002, 52710002, 55579001, 52271003, 52274005, 52274004, 54745002, 54747001, 53704002, 57370001, 52295005, 52298003;
Risorgimento;227.655947625;13;129;45.07965, 7.65217;53766001, 51461006, 51601007, 51601008, 54651003, 51624007, 51546006, 51636006, 51515009, 51636007, 51489007, 51585009, 51569010;
Lesna;145.390835486;6;67;45.05863, 7.620369999999999;50808019, 50808018, 50845017, 50824018, 50824019, 50844011;
